rv,smi,qed,sa,cur_sentence,seed
9.6,Cc1nc2cc(F)cc(C(=O)Nc3ccc(Cl)c(N4CCNC4=O)c3)c2nc1C,0.682910408588239,2.5856392804955846,[BOS]Cc1nc2cc(F)cc(C(=O)Nc3ccc(Cl)c(N4CCNC4=O)c3)c2nc1C[EOS],43
10.5,O=C(NCC12CCCOC1CCN(C(=O)c1cccc(=O)[nH]1)C2)c1cc(=O)[nH]c2ccccc12,0.5439952940326795,3.7374384655199435,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1cccc(=O)[nH]1)C2)c1cc(=O)[nH]c2ccccc12[EOS][EOS][EOS][EOS][EOS],43
9.1,Cc1cc(C(=O)Nc2ccnn2-c2cccc(F)c2)c2cnn(CC(F)F)c2n1,0.5555454090734558,2.7108394055737577,[BOS]Cc1cc(C(=O)Nc2ccnn2-c2cccc(F)c2)c2cnn(CC(F)F)c2n1[EOS][EOS][EOS][EOS][EOS][EOS],43
10.3,CC1CN(C(=O)c2cc(-c3ccc4c(c3)OCCO4)nc3ccccc23)CC2(CCCOCC2)O1,0.5458134141985679,3.8633176611547313,[BOS]C[C@H]1CN(C(=O)c2cc(-c3ccc4c(c3)OCCO4)nc3ccccc23)C[C@@]2(CCCOCC2)O1[EOS],43
9.7,Cn1nc2c(c1C(=O)N1CCc3[nH]nc(-c4ccc5c(c4)OCO5)c3CC1)CN(C(=O)OC(C)(C)C)CC2,0.5522839875200228,3.0732500694509266,[BOS]Cn1nc2c(c1C(=O)N1CCc3[nH]nc(-c4ccc5c(c4)OCO5)c3CC1)CN(C(=O)OC(C)(C)C)CC2[EOS][EOS],43
9.3,COc1cc(N2CCC(C(=O)N3CCCCC3C3CCN(C(=O)Cc4ncccn4)CC3)CC2)ncn1,0.5869342057200717,3.2361295027185424,[BOS]COc1cc(N2CCC(C(=O)N3CCCC[C@H]3C3CCN(C(=O)Cc4ncccn4)CC3)CC2)ncn1[EOS][EOS][EOS][EOS],43
10.0,O=C(c1nn(-c2ccc(F)c(F)c2)c2c1CCC2)N1CC2CCCN2c2ccccc21,0.6219072214605709,3.0600113899063714,[BOS]O=C(c1nn(-c2ccc(F)c(F)c2)c2c1CCC2)N1C[C@@H]2CCCN2c2ccccc21[EOS],43
10.2,CC(NC(=O)NC(c1cccc(S(C)(=O)=O)c1)c1ccc2ncccc2c1)C1CCCCC1,0.5364491275969754,3.162682913635165,[BOS]C[C@@H](NC(=O)N[C@@H](c1cccc(S(C)(=O)=O)c1)c1ccc2ncccc2c1)C1CCCCC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],43
10.1,O=C(Nc1cccc(N2C(=O)NC3(CCc4ccccc43)C2=O)c1)c1ccc(F)cc1,0.6355388105105874,3.1499466648015293,[BOS]O=C(Nc1cccc(N2C(=O)N[C@@]3(CCc4ccccc43)C2=O)c1)c1ccc(F)cc1[EOS],43
10.0,O=C(c1n[nH]c2cc(O)ccc12)N1CCc2onc(-c3cccc(F)c3)c2CC1,0.5457651217210847,2.6696572292135343,[BOS]O=C(c1n[nH]c2cc(O)ccc12)N1CCc2onc(-c3cccc(F)c3)c2CC1[EOS][EOS][EOS][EOS][EOS][EOS],43
