rv,smi,qed,sa,cur_sentence,seed
13.6,Cc1nn(-c2ccc(=O)[nH]n2)c2c1C(c1ccc3c(c1)CCCC3)CC(=O)N2,0.7200744990587916,3.386490102761509,[BOS]Cc1nn(-c2ccc(=O)[nH]n2)c2c1[C@H](c1ccc3c(c1)CCCC3)CC(=O)N2[EOS],42
12.8,CN1N=C(C(=O)N2CCCCC2C2CCN(C(=O)c3[nH]nc4c3CCc3ncccc3-4)CC2)CCC1=O,0.6908702544041062,3.5753168379689626,[BOS]CN1N=C(C(=O)N2CCCC[C@H]2C2CCN(C(=O)c3[nH]nc4c3CCc3ncccc3-4)CC2)CCC1=O[EOS],42
12.5,O=C(c1ccc(O)cn1)N1CCC(C2CCCCN2C(=O)c2cc(Cl)c3nncn3c2)CC1,0.6332282033437778,3.3131604725927817,[BOS]O=C(c1ccc(O)cn1)N1CCC([C@@H]2CCCCN2C(=O)c2cc(Cl)c3nncn3c2)CC1[EOS],42
12.5,COc1ccc(C(=O)N2C3CCC2CC(NC(=O)C(C)(OC)c2cccc4ccccc24)C3)c(C)c1,0.5342354875228557,4.293590418470419,[BOS]COc1ccc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)[C@](C)(OC)c2cccc4ccccc24)C3)c(C)c1[EOS],42
11.6,O=C(CCc1ccc(F)c(F)c1)N1CCOCC2(C1)CN(C(=O)C1CNc3ccccc31)CCO2,0.7210968903212979,4.085238033236749,[BOS]O=C(CCc1ccc(F)c(F)c1)N1CCOC[C@]2(C1)CN(C(=O)[C@H]1CNc3ccccc31)CCO2[EOS][EOS][EOS][EOS],42
11.7,CC1(C(=O)N2CCC(CNC(=O)c3[nH]nc4c3CCc3ncccc3-4)C2c2cccnc2)CCCCC1,0.5472124967669078,3.889066117821281,[BOS]CC1(C(=O)N2CC[C@H](CNC(=O)c3[nH]nc4c3CCc3ncccc3-4)[C@H]2c2cccnc2)CCCCC1[EOS][EOS][EOS],42
12.8,Cc1ccccc1C(=O)NCC12CCCOC1CCN(C(=O)c1[nH]nc3c1CCc1ncccc1-3)C2,0.5906150021880037,3.8862924731410775,[BOS]Cc1ccccc1C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1[nH]nc3c1CCc1ncccc1-3)C2[EOS],42
13.1,CN1Cc2cc(NS(=O)(=O)C3CCCC4c5ccccc5NC43)cc3c4c(c(=O)n1c23)CCCC4,0.5830849394659149,4.297931171878616,[BOS]CN1Cc2cc(NS(=O)(=O)C3CCCC4c5ccccc5NC43)cc3c4c(c(=O)n1c23)CCCC4[EOS],42
14.0,O=C(NC1CC2CCC(C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1ccc2c(c1)CCCC2=O,0.7031866258870512,4.32945134661836,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1ccc2c(c1)CCCC2=O[EOS],42
12.8,CC1(C(=O)NCC2CCN(C(=O)c3ccc4c(c3)CCCC4=O)C2c2cccnc2)CC=CCC1,0.6431604657665815,3.944172908359958,[BOS]C[C@]1(C(=O)NC[C@@H]2CCN(C(=O)c3ccc4c(c3)CCCC4=O)[C@H]2c2cccnc2)CC=CCC1[EOS],42
13.2,O=C(C1CCCN1C(=O)c1ccc2c(c1)OCO2)N1CC=C(c2c[nH]c3cc(F)ccc23)CC1,0.6409592271601049,3.107082764740976,[BOS]O=C([C@@H]1CCCN1C(=O)c1ccc2c(c1)OCO2)N1CC=C(c2c[nH]c3cc(F)ccc23)CC1[EOS],42
12.6,O=C(NC1CC2CCC(C1)N2C(=O)C1CC(c2ccccc2)N=N1)c1ncccc1-c1ccccc1,0.5607381224773192,4.629702481218192,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@@H]1CC(c2ccccc2)N=N1)c1ncccc1-c1ccccc1[EOS][EOS][EOS],42
12.9,O=C(NC1CC2CCC(C1)N2C(=O)C1CCc2ccccc2O1)c1ccc(C(F)(F)F)c(F)c1Cl,0.5814849952775686,4.471894061241455,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H]1CCc2ccccc2O1)c1ccc(C(F)(F)F)c(F)c1Cl[EOS],42
12.8,Cc1cc(F)c(C(=O)NCC23CCCOC2CCN(C(=O)C2CCCC4CCCCC42)C3)cc1F,0.6484797067638564,4.301805794089757,[BOS]Cc1cc(F)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)[C@@H]2CCC[C@@H]4CCCC[C@H]42)C3)cc1F[EOS],42
11.9,O=S(=O)(c1ccc2nc(O)sc2c1)N1CC=C(c2cccc3ccccc23)CC1,0.522431097236547,2.604181405037709,[BOS]O=S(=O)(c1ccc2nc(O)sc2c1)N1CC=C(c2cccc3ccccc23)CC1[EOS][EOS][EOS][EOS][EOS],42
12.9,CN1N=C(C(=O)N2CCCCC2C2CCN(C(=O)c3cnc4cccc(Cl)c4c3)CC2)CCC1=O,0.6488901000362185,3.187592979862532,[BOS]CN1N=C(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3cnc4cccc(Cl)c4c3)CC2)CCC1=O[EOS],42
12.7,CN(C(=O)NC1CC1c1ccc2ccccc2c1)C1CCN(C(=O)c2ccccc2)CC1,0.6594047159768684,3.0060963829258904,[BOS]CN(C(=O)N[C@@H]1C[C@H]1c1ccc2ccccc2c1)C1CCN(C(=O)c2ccccc2)CC1[EOS][EOS][EOS],42
12.7,CC(=O)N1CCc2cc(C(=O)NC3CC4(CCCC4)Oc4cc(C)c(C(C)(C)C)cc43)ccc21,0.6191101006349646,3.7126199468123415,[BOS]CC(=O)N1CCc2cc(C(=O)NC3CC4(CCCC4)Oc4cc(C)c(C(C)(C)C)cc43)ccc21[EOS],42
12.9,Cc1cc(C)cc(N2CCC(C(=O)N3CCC4(CC(=O)N5Cc6cnn(C)c6CC5C4)C3)C2=O)c1,0.6250145410015198,4.622326772050901,[BOS]Cc1cc(C)cc(N2CC[C@@H](C(=O)N3CC[C@@]4(CC(=O)N5Cc6cnn(C)c6C[C@H]5C4)C3)C2=O)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.2,O=C(c1ccc(F)c(-c2cc(C(F)(F)F)c3cc[nH]c3c2)c1)N1CCN2CCN=C(O)CCC2C1,0.5059547688222619,3.4614143365058894,[BOS]O=C(c1ccc(F)c(-c2cc(C(F)(F)F)c3cc[nH]c3c2)c1)N1CCN2CCN=C(O)CCC2C1[EOS],42
12.7,Cc1ccc2[nH]c(C(=O)NCC34CCCOC3CCN(C(=O)c3cc5n(n3)CCNC5=O)C4)cc2c1,0.5155214713423906,3.9891714503177456,[BOS]Cc1ccc2[nH]c(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)c3cc5n(n3)CCNC5=O)C4)cc2c1[EOS][EOS],42
12.9,O=C(NC(c1cccc2ccccc12)C(F)(F)F)N1CCCN2c3ccccc3CC2C1,0.5890560348772803,3.258798529867308,[BOS]O=C(N[C@H](c1cccc2ccccc12)C(F)(F)F)N1CCCN2c3ccccc3C[C@H]2C1[EOS],42
12.5,O=C(NCC1OCC2CCN(C(=O)C3CC3c3ccc(F)cc3)CC21)c1cnc2c(F)c(F)ccc2c1,0.5636076527789002,4.092987500303291,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@H]3C[C@@H]3c3ccc(F)cc3)C[C@@H]21)c1cnc2c(F)c(F)ccc2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.8,COc1cccc2[nH]cc(C(=O)N3CCCCC3C3CCN(C(=O)C4CCc5ccccc54)CC3)c12,0.556546588526666,3.361326758855361,[BOS]COc1cccc2[nH]cc(C(=O)N3CCCC[C@H]3C3CCN(C(=O)[C@@H]4CCc5ccccc54)CC3)c12[EOS],42
12.4,CC(C)(C)c1ncccc1C(=O)N1CCC(CNC(=O)c2[nH]c(=O)n3c2CCCC3)C1c1cccnc1,0.5562407963450509,3.884636044561207,[BOS]CC(C)(C)c1ncccc1C(=O)N1CC[C@@H](CNC(=O)c2[nH]c(=O)n3c2CCCC3)[C@@H]1c1cccnc1[EOS],42
12.1,Cc1cc(C#N)cc(C(=O)N2CCCCC2C2CCN(C(=O)c3n[nH]c4c3CS(=O)(=O)C4)CC2)c1,0.6971845574173374,3.52118356727512,[BOS]Cc1cc(C#N)cc(C(=O)N2CCCC[C@H]2C2CCN(C(=O)c3n[nH]c4c3CS(=O)(=O)C4)CC2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.3,O=C(NC1CC2CCC(C1)N2C(=O)c1ccc2c(c1)OCCO2)c1cccnc1-c1ccc(F)c(F)c1,0.5699839622297197,4.011748111535686,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1ccc2c(c1)OCCO2)c1cccnc1-c1ccc(F)c(F)c1[EOS],42
12.1,O=C(NC1Cc2ccc(Cl)cc2NC1=O)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,0.5824066457279283,2.989377121007603,[BOS]O=C(N[C@H]1Cc2ccc(Cl)cc2NC1=O)c1cccc(Oc2cccc(C(F)(F)F)c2)n1[EOS],42
12.5,O=C(NCC1(c2ccc3c(c2)OCCO3)CCCC1)N1CCCC2(C1)C(=O)NCC21CCCCC1,0.6800748018037422,4.399136929265262,[BOS]O=C(NCC1(c2ccc3c(c2)OCCO3)CCCC1)N1CCC[C@@]2(C(=O)NCC23CCCCC3)C1[EOS][EOS][EOS][EOS],42
13.2,Cc1cccc(-c2ncccc2C(=O)NC2C3COCC2CN(C(=O)c2cccc(F)c2C)C3)c1C,0.594788278342318,4.198439498098748,[BOS]Cc1cccc(-c2ncccc2C(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(=O)c2cccc(F)c2C)C3)c1C[EOS],42
