rv,smi,qed,sa,cur_sentence,seed
12.9,Cc1nnc2ccc(-c3nc(-c4ccc5c(c4)OC(C)(C)C=CC5Cl)no3)cc2c1C1CCC(N)C1,0.26104392081253414,4.238375947343842,[BOS]Cc1nnc2ccc(-c3nc(-c4ccc5c(c4)OC(C)(C)C=CC5Cl)no3)cc2c1[C@H]1CC[C@H](N)C1[EOS],44
13.9,O=C(Nc1cc(C2CCCCN2C(=O)C2CCCC3CCCCC32)[nH]n1)c1ccc2n[nH]nc2c1,0.5096379601888394,3.9720184601298643,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)[C@@H]2CCC[C@@H]3CCCC[C@@H]32)[nH]n1)c1ccc2n[nH]nc2c1[EOS],44
12.5,Cc1ccc(NC(=O)N2CCC3(CCc4ccccc4O3)CC2)cc1S(=O)(=O)N1CCCCCC1,0.6507382055920504,2.9764593271588016,[BOS]Cc1ccc(NC(=O)N2CCC3(CCc4ccccc4O3)CC2)cc1S(=O)(=O)N1CCCCCC1[EOS],44
12.5,O=C1CCC2CN(C(=O)c3cc(N4CCCC4=O)cc(C(F)(F)F)c3)c3cccc1c32,0.7051739050375174,3.1923584986596873,[BOS]O=C1CC[C@@H]2CN(C(=O)c3cc(N4CCCC4=O)cc(C(F)(F)F)c3)c3cccc1c32[EOS],44
13.9,Cc1nn(-c2cccc(C(=O)Nc3noc4c3CCCC4)c2)c2c1C(=O)C(C)(C)CC1(CCCC1)CO2,0.4821886764558668,3.826048636729186,[BOS]Cc1nn(-c2cccc(C(=O)Nc3noc4c3CCCC4)c2)c2c1C(=O)C(C)(C)CC1(CCCC1)CO2[EOS],44
13.1,Cc1ccc(-c2nc(-c3cccc4c3NC(=O)C4)no2)cc1S(=O)(=O)N1CCC(F)(F)C=C1[O-],0.5985412699003884,3.4837896754189694,[BOS]Cc1ccc(-c2nc(-c3cccc4c3NC(=O)C4)no2)cc1S(=O)(=O)N1CCC(F)(F)C=C1[O-][EOS],44
14.4,O=C(Nc1cccc(C(=O)N2CCOCC2)c1)c1c2c(nc3ccccc13)C(=Cc1ccco1)CCC2,0.4098700880701398,2.5657442981835636,[BOS]O=C(Nc1cccc(C(=O)N2CCOCC2)c1)c1c2c(nc3ccccc13)C(=Cc1ccco1)CCC2[EOS],44
12.4,O=C(NCC1CCc2ccc(-c3ccccc3)cc21)c1cc2ccccc2n1CC(=O)N1CCOCC1,0.4261700828475492,2.9627410882278333,[BOS]O=C(Cn1c(C(=O)NC[C@@H]2CCc3ccc(-c4ccccc4)cc32)cc2ccccc21)N1CCOCC1[EOS][EOS][EOS],44
13.6,O=C(Nc1cccc(-c2ccccc2)c1)C1CCCN(C(=O)Nc2ccc3c(c2)OCCNC3=NO)C1,0.31466823494626917,3.14535898989803,[BOS]O=C(Nc1cccc(-c2ccccc2)c1)[C@H]1CCCN(C(=O)Nc2ccc3c(c2)OCCNC3=NO)C1[EOS],44
12.3,O=C1OCc2c(NC(=O)N3Cc4ccccc4-c4ccccc4C3)cccc21,0.6384488252018573,2.362258576557597,[BOS]O=C1OCc2c(NC(=O)N3Cc4ccccc4-c4ccccc4C3)cccc21[EOS],44
12.9,Cc1ccc(NS(=O)(=O)c2cc(C(=O)NC3c4ccccc4CCCC3C)ccc2C)c(C)c1,0.45327235665170895,3.0340114936947753,[BOS]Cc1ccc(NS(=O)(=O)c2cc(C(=O)N[C@@H]3c4ccccc4CCC[C@@H]3C)ccc2C)c(C)c1[EOS],44
13.6,O=C(c1cn(Cc2ccccc2)c2cc(Cl)c(F)cc2c1=O)N1CC2CC(C1)c1cccc(=O)n1C2,0.4193824127203739,4.042068395871448,[BOS]O=C(c1cn(Cc2ccccc2)c2cc(Cl)c(F)cc2c1=O)N1C[C@@H]2C[C@H](C1)c1cccc(=O)n1C2[EOS],44
13.1,Cc1cc(C)cc(C(=O)N2CCCC(C(=O)NCC3CC(c4ccc(C)c(C)c4)=NO3)C2)c1,0.7507609712407046,3.181714643744453,[BOS]Cc1ccc(C2=NO[C@@H](CNC(=O)[C@H]3CCCN(C(=O)c4cc(C)cc(C)c4)C3)C2)cc1C[EOS],44
12.0,Cc1ccc(C(=O)c2ccccc2C(=O)Nc2cc(C)n3nc(C(F)(F)F)nc3n2)cc1F,0.36294379471197696,2.5868009777734375,[BOS]Cc1ccc(C(=O)c2ccccc2C(=O)Nc2cc(C)n3nc(C(F)(F)F)nc3n2)cc1F[EOS],44
12.3,Cc1ccc(-n2nc(C(=O)N3CCCC3CC(O)c3ccc(F)cc3)c3ccccc32)cc1,0.46118702487059676,3.083799219949232,[BOS]Cc1ccc(-n2nc(C(=O)N3CCC[C@@H]3C[C@H](O)c3ccc(F)cc3)c3ccccc32)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],44
11.5,CC(=O)N1CCC2C(C1)NC(=O)N2C1CCN(S(=O)(=O)c2ccc(-n3cnnn3)cc2)CC1,0.6502591959425508,3.5613843866302552,[BOS]CC(=O)N1CC[C@@H]2[C@@H](C1)NC(=O)N2C1CCN(S(=O)(=O)c2ccc(-n3cnnn3)cc2)CC1[EOS],44
12.3,O=C(NCC1OCC2CCN(C(=O)Cc3c(F)cccc3F)CC21)C1CCc2[nH]c(=O)[nH]c(=O)c2C1,0.5545644851140346,4.213507432209102,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3c(F)cccc3F)C[C@@H]21)[C@H]1CCc2[nH]c(=O)[nH]c(=O)c2C1[EOS],44
11.7,Cc1ccc(CNC(=O)Nc2cccc3ccncc23)cc1S(=O)(=O)N1CCCCC1,0.628936916583526,2.251977860905768,[BOS]Cc1ccc(CNC(=O)Nc2cccc3ccncc23)cc1S(=O)(=O)N1CCCCC1[EOS],44
11.9,O=C(CNC1CCc2ccccc2C1)N1CCCC(c2cncc(-c3ccccc3F)n2)C1,0.642816976264448,3.2975773742962406,[BOS]O=C(CN[C@@H]1CCc2ccccc2C1)N1CCC[C@H](c2cncc(-c3ccccc3F)n2)C1[EOS][EOS][EOS][EOS],44
13.4,O=C(c1ccc(Cl)c(S(=O)(=O)N2CCc3ccccc3C2)c1)N1CC2CC(C1)c1cccc(=O)n1C2,0.5260387683744575,4.005099165102218,[BOS]O=C(c1ccc(Cl)c(S(=O)(=O)N2CCc3ccccc3C2)c1)N1C[C@H]2C[C@@H](C1)c1cccc(=O)n1C2[EOS],44
12.0,Cc1ncc(-c2ccccc2)cc1NC(=O)N1C2CCC1CC(N(C)C(=O)c1ccccc1)C2,0.5774216586595334,3.8907377538444994,[BOS]Cc1ncc(-c2ccccc2)cc1NC(=O)N1[C@H]2CC[C@H]1CC(N(C)C(=O)c1ccccc1)C2[EOS],44
12.1,Cc1nc(-c2cc(NC(=O)C3=NN(c4ccc(F)cc4)C(C(N)=O)C3)cc(C(F)(F)F)c2)n[nH]1,0.48883612292074985,3.2163386641607072,[BOS]Cc1nc(-c2cc(NC(=O)C3=NN(c4ccc(F)cc4)[C@H](C(N)=O)C3)cc(C(F)(F)F)c2)n[nH]1[EOS][EOS][EOS][EOS][EOS],44
12.0,CC1(c2cccc(C(=O)NC(c3cccc(F)c3)c3cccc(Br)c3)c2)NC(=O)NC1=O,0.4640119042118009,3.15829886431547,[BOS]C[C@]1(c2cccc(C(=O)N[C@@H](c3cccc(F)c3)c3cccc(Br)c3)c2)NC(=O)NC1=O[EOS][EOS][EOS][EOS][EOS][EOS],44
12.8,Cc1ccc(C(=O)N2CCOc3ccccc3C2)cc1NC(=O)Nc1cc(Cl)cc2c1OCC(=O)N2,0.47854204741117806,2.6397167808598656,[BOS]Cc1ccc(C(=O)N2CCOc3ccccc3C2)cc1NC(=O)Nc1cc(Cl)cc2c1OCC(=O)N2[EOS],44
12.6,Cc1cc2cc(C(=O)NC3CC4CCC(C3)N4C(=O)c3ccc4c(c3)CNC4=O)ccc2[nH]1,0.5810440592532845,4.112739256848521,[BOS]Cc1cc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)c3ccc4c(c3)CNC4=O)ccc2[nH]1[EOS],44
11.8,OC(=Nc1ccc2c3c(cccc13)CC2)NC1CCOC2(CCCCCC2)C1,0.5473288705832254,3.8961215641658846,[BOS]OC(=Nc1ccc2c3c(cccc13)CC2)N[C@H]1CCOC2(CCCCCC2)C1[EOS],44
12.2,Cc1c(C(=O)NCC23CCCOC2CCN(C(=O)Cc2c[nH]c4ccccc24)C3)ccc2c1OCCO2,0.5549643886070602,3.7657930408982034,[BOS]Cc1c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)Cc2c[nH]c4ccccc24)C3)ccc2c1OCCO2[EOS],44
12.7,c1ccc2c(c1)COC21CCN(c2ccc(-c3c[nH]c4ccccc34)nn2)CC1,0.548230802193413,3.045885233819895,[BOS]c1ccc2c(-c3ccc(N4CCC5(CC4)OCc4ccccc45)nn3)c[nH]c2c1[EOS],44
14.4,O=C(Nc1cc(C2CCCCN2C(=O)c2c[nH]c3cccc(Cl)c23)[nH]n1)C1CC(=O)N(c2c3c(nn2F)OCC3)C1,0.3280997059312711,4.226820479840491,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2c[nH]c3cccc(Cl)c23)[nH]n1)[C@H]1CC(=O)N(c2c4c(nn2F)OCC4)C1[EOS],44
12.3,O=C(CC1CCc2ccc(F)cc21)N1CCC(F)(F)C2(CCN(c3ncccc3F)C2)C1,0.6484367804269201,4.282809712073375,[BOS]O=C(C[C@@H]1CCc2ccc(F)cc21)N1CCC(F)(F)[C@@]2(CCN(c3ncccc3F)C2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],44
