rv,smi,qed,sa,cur_sentence,seed
12.1,O=C(CCc1ccc(S(=O)(=O)N2CCCCC2)cc1)NCc1ccc(-c2ccc3c(c2)CCO3)cc1,0.4820572481488009,2.245856450122645,[BOS]O=C(CCc1ccc(S(=O)(=O)N2CCCCC2)cc1)NCc1ccc(-c2ccc3c(c2)CCO3)cc1[EOS],42
13.0,O=C(Nc1cc(C2CCCCN2C(=O)Cc2ccc3ccccc3c2)[nH]n1)C1CCC2CCC(=O)N2C1,0.5497705565909964,3.6064184710737965,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)Cc2ccc3ccccc3c2)[nH]n1)[C@H]1CC[C@@H]2CCC(=O)N2C1[EOS],42
11.9,Cc1cccc(C(NC(=O)NC(C)Cn2ncc3ccccc3c2=O)c2cccc(C)c2)c1,0.4638195024751789,2.8505865058428466,[BOS]Cc1cccc(C(NC(=O)N[C@H](C)Cn2ncc3ccccc3c2=O)c2cccc(C)c2)c1[EOS][EOS],42
12.3,O=C(Nc1cccc(C(=O)N2CCCC(c3nc(-c4cccc(F)c4)no3)C2)c1)C1CCCCC1,0.5316425785332151,2.7611184911747504,[BOS]O=C(Nc1cccc(C(=O)N2CCC[C@H](c3nc(-c4cccc(F)c4)no3)C2)c1)C1CCCCC1[EOS],42
12.0,c1ccn2ncc(-c3ccc(-c4ccc(C5OCCO5)cc4)c4c3OCC4)c2c1,0.5158408744918676,2.8339084228474842,[BOS]c1ccn2ncc(-c3ccc(-c4ccc(C5OCCO5)cc4)c4c3OCC4)c2c1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,Cc1nnnn1-c1ccc(C(=O)NCc2cccc(N3C(=O)NC4(CCCC4)C3=O)c2)c(F)c1,0.5606158179666287,3.103186780313033,[BOS]Cc1nnnn1-c1ccc(C(=O)NCc2cccc(N3C(=O)NC4(CCCC4)C3=O)c2)c(F)c1[EOS],42
12.5,O=C(NC1CC2CCC(C1)N2C(=O)Cc1cc2cccnc2cc1F)c1ccc(C(F)(F)F)c(F)c1,0.5086298582032776,4.09785161225134,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1cc2cccnc2cc1F)c1ccc(C(F)(F)F)c(F)c1[EOS],42
12.4,Cc1ccc(-c2nn(CC(=O)N3C(C)CC4CCCCC43)c(=O)c3ccccc23)cc1C,0.5974451584655257,3.378334748139979,[BOS]Cc1ccc(-c2nn(CC(=O)N3[C@@H](C)C[C@@H]4CCCC[C@H]43)c(=O)c3ccccc23)cc1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,CC(NC(=O)C(Oc1ccc(F)c(F)c1)c1ccccc1)C(=O)N1Cc2ccccc2C1,0.6322215522825775,2.9998885515513116,[BOS]C[C@H](NC(=O)[C@H](Oc1ccc(F)c(F)c1)c1ccccc1)C(=O)N1Cc2ccccc2C1[EOS],42
11.7,Cc1ccc(-n2nc(C(=O)N(C)c3ccc4ccccc4n3)c3c2CCC3)c(C)c1,0.4996619223463075,2.502176537210463,[BOS]Cc1ccc(-n2nc(C(=O)N(C)c3ccc4ccccc4n3)c3c2CCC3)c(C)c1[EOS],42
