rv,smi,qed,sa,cur_sentence,seed
10.0,CC1CN(C(=O)c2cc(-c3ccc(F)cc3)nc3onc(C4CC4)c23)c2ccccc2C(=O)N1,0.48344782067616376,3.2457821807888454,[BOS]C[C@@H]1CN(C(=O)c2cc(-c3ccc(F)cc3)nc3onc(C4CC4)c23)c2ccccc2C(=O)N1[EOS],42
9.8,Cc1ccc(-c2ccccc2C(=O)Nc2cccc(C3(C)C(=O)NC3=O)c2)nn1,0.5302140978660713,2.5498086363429877,[BOS]Cc1nnc(-c2ccccc2C(=O)Nc2cccc([C@]3(C)C(=O)NC3=O)c2)cc1[EOS],42
9.6,Cc1cnc(NC(=O)c2cccc3c2OC(C)C2C(=O)N=C4C=CC=CN4C32)nc1-c1ccc(F)cc1,0.5703281881474672,4.1365457569954245,[BOS]C[C@H]1Oc2c(C(=O)Nc3nc(-c4ccc(F)cc4)c(C)cn3)cccc2[C@@H]2C1C(=O)N=C1C=CC=CN12[EOS][EOS][EOS][EOS],42
10.3,O=C(NC(Cc1cccc(F)c1)CN1C(=O)C2(CCc3ccccc32)N=C1O)C1=NOC2CCCCCC12,0.607401585740408,4.813766736117593,[BOS]O=C(N[C@H](Cc1cccc(F)c1)CN1C(=O)C2(CCc3ccccc32)N=C1O)C1=NO[C@H]2CCCCC[C@@H]12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.0,Cc1cccc(C(NC(=O)Nc2cccc3c2OCC(=O)N3)c2ccccn2)c1,0.6363348736081926,2.9266916188142105,[BOS]Cc1cccc([C@H](NC(=O)Nc2cccc3c2OCC(=O)N3)c2ccccn2)c1[EOS],42
10.0,Cc1[nH]nc(NC(=O)c2cnnc(-c3ccccc3)c2)c1-c1ccc2c(c1)OCCO2,0.5266695280737049,2.5642064931205706,[BOS]Cc1[nH]nc(NC(=O)c2cnnc(-c3ccccc3)c2)c1-c1ccc2c(c1)OCCO2[EOS],42
9.8,CC(Nc1ccccn1)C(=O)Nc1cc(C2CCCCN2C(=O)C2CCC(=O)N2C)[nH]n1,0.6318751896966612,3.756995103169565,[BOS]C[C@@H](Nc1ccccn1)C(=O)Nc1cc([C@H]2CCCCN2C(=O)[C@@H]2CCC(=O)N2C)[nH]n1[EOS][EOS],42
9.8,Cc1ccc(C(NC(=O)NC2CCCc3[nH]c(=O)c(C(N)=O)cc32)c2ccc(F)cc2F)cc1,0.46085154192214006,3.3601044491603647,[BOS]NC(=O)c1cc2c([nH]c1=O)CCC[C@H]2NC(=O)NC(c1ccc(C)cc1)c1ccc(F)cc1F[EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,O=C1Nc2c(C(=O)NCC34CCCOC3CCN(C(=O)Cc3ccc5ncnn5c3)C4)cccc2C1=O,0.5012788617543764,4.082841327502566,[BOS]O=C1Nc2c(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)Cc3ccc5ncnn5c3)C4)cccc2C1=O[EOS],42
9.8,O=C1c2ccccc2C(=O)N1C1C2CCCC1C(c1ccc3c(c1)OCO3)=NN2,0.7988322462687039,4.337886737315674,[BOS]O=C1c2ccccc2C(=O)N1[C@H]1[C@H]2CCC[C@H]1NN=C2c1ccc2c(c1)OCO2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
