rv,smi,qed,sa,cur_sentence,seed
11.8,Cc1cc(NCC2=CC=CN3NC(=C4C=c5ccccc5=N4)C=C23)nc2c(F)cc(F)cc12,0.6534231376399883,3.539658353090428,[BOS]Cc1cc(NCC2=CC=CN3NC(=C4C=c5ccccc5=N4)C=C23)nc2c(F)cc(F)cc12[EOS],43
10.9,Cc1cc2occ(CC(=O)Nc3c(-c4cccnc4)nc4ccccn34)c2cc1C,0.4669566102525974,2.533901088441109,[BOS]Cc1cc2occ(CC(=O)Nc3c(-c4cccnc4)nc4ccccn34)c2cc1C[EOS],43
10.4,O=C(OCC(=O)N1CCc2ccccc21)c1nc(-c2ccc(F)cc2)n2c1CCCCC2,0.5798184272099415,2.442303677879808,[BOS]O=C(OCC(=O)N1CCc2ccccc21)c1nc(-c2ccc(F)cc2)n2c1CCCCC2[EOS][EOS],43
10.8,O=C(CNC(=O)C1c2ccccc2C(=O)N1Cc1ccccc1)Nc1cccc2c1CCNC2=O,0.5164608157246373,2.9319432570902553,[BOS]O=C(CNC(=O)[C@H]1c2ccccc2C(=O)N1Cc1ccccc1)Nc1cccc2c1CCNC2=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],43
11.1,CC(NC(=O)C1CCc2nncn2C1)c1ccc(F)c2ccccc12,0.798507241437447,3.2559633580961744,[BOS]C[C@H](NC(=O)[C@H]1CCc2nncn2C1)c1ccc(F)c2ccccc12[EOS],43
11.1,CC1Cc2ccccc2N(CC(=O)Nc2cc(-n3nnnc3C3CC3)ccc2F)C1,0.7035489902505498,2.9904302342478886,[BOS]C[C@@H]1Cc2ccccc2N(CC(=O)Nc2cc(-n3nnnc3C3CC3)ccc2F)C1[EOS],43
11.6,Cn1cnc2cc(C(=O)N3CC(=Cc4ccc5ccccc5c4)N4CCCC4C3)ccc2c1=O,0.4624355723816147,3.1800743731325856,[BOS]Cn1cnc2cc(C(=O)N3CC4CCCN4C(=Cc4ccc5ccccc5c4)C3)ccc2c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],43
10.8,NC(=O)C1CCC(CNC(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)CC1,0.6521493047101149,2.3186444087007114,[BOS]NC(=O)[C@H]1CC[C@H](CNC(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)CC1[EOS],43
12.0,FC(F)c1nc(N2CCCc3ccccc3C2)c2cc(C3=CCNCC3)cc(C(F)(F)F)c2n1,0.4790690144380256,3.116922884651407,[BOS]FC(F)c1nc(N2CCCc3ccccc3C2)c2cc(C3=CCNCC3)cc(C(F)(F)F)c2n1[EOS][EOS][EOS][EOS][EOS][EOS],43
12.7,O=C(c1cc2c(ccc3ccccc32)[nH]1)N1CCc2c(nc(O)[nH]c2=O)C1,0.4846413892957802,2.7142626482285532,[BOS]O=C(c1cc2c(ccc3ccccc32)[nH]1)N1CCc2c(nc(O)[nH]c2=O)C1[EOS],43
12.6,O=C(c1cccc2c(=O)c3ccccc3[nH]c12)N1CC2CCCN2c2ncccc21,0.4982379288852009,2.990030949811395,[BOS]O=C(c1cccc2c(=O)c3ccccc3[nH]c12)N1C[C@H]2CCCN2c2ncccc21[EOS],43
