rv,smi,qed,sa,cur_sentence,seed
12.2,O=C(CN1Cc2ccccc2C1=O)N1CC=C(c2cccc3ccccc23)CC1,0.6839490280284517,2.3432520708424924,[BOS]O=C(CN1Cc2ccccc2C1=O)N1CC=C(c2cccc3ccccc23)CC1[EOS],44
12.6,CCn1c(Cc2cccc3ccccc23)nnc1N1CC2COCC2(c2nnc(C)o2)C1,0.4810255417043384,3.9139407628424747,[BOS]CCn1c(Cc2cccc3ccccc23)nnc1N1C[C@H]2COC[C@]2(c2nnc(C)o2)C1[EOS],44
12.8,NC(=O)c1cccc2ccc(-c3nc(-c4ccc5c(c4)CCCC5=O)no3)cc12,0.5721940836579056,2.3657489874552926,[BOS]NC(=O)c1cccc2ccc(-c3nc(-c4ccc5c(c4)CCCC5=O)no3)cc12[EOS],44
14.5,O=C(C1Cc2cc(Cl)cc(-c3ccnc4[nH]ccc34)c2N1)N1C2CCC1CN(c1ncccn1)C2,0.4573278927927062,4.74410497404571,[BOS]O=C(C1Cc2cc(Cl)cc(-c3ccnc4[nH]ccc34)c2N1)N1C2CCC1CN(c1ncccn1)C2[EOS],44
11.9,CC1CC(Cn2c(Cc3ccccc3F)nnc2N2CCN(C(=O)C(C)(C)C)CC2)CC(C)O1,0.6617808249351396,3.556365663735262,[BOS]C[C@H]1CC(Cn2c(Cc3ccccc3F)nnc2N2CCN(C(=O)C(C)(C)C)CC2)C[C@H](C)O1[EOS][EOS][EOS][EOS][EOS][EOS],44
12.9,Cn1ccc2c(=O)[nH]cc(C(=O)NC3CC4CCC(C3)N4C(=O)C3=C4c5ccccc5C(=O)N4CC3)c21,0.5794238724224285,4.610530259576324,[BOS]Cn1ccc2c(=O)[nH]cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)C3=C4c5ccccc5C(=O)N4CC3)c21[EOS],44
13.8,O=C(c1[nH]c2ccoc2c1-c1ccccc1)N1CCOC2(COCCN(C(=O)C3(F)CCCC=C3F)C2)C1,0.5527905913326567,4.72966189399145,[BOS]O=C(c1[nH]c2ccoc2c1-c1ccccc1)N1CCO[C@]2(COCCN(C(=O)[C@]3(F)CCCC=C3F)C2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],44
12.3,O=C(NCC1CCN(C(=O)c2cnc3c(F)c(F)ccc3c2)C1c1cccnc1)C1CC=CCC1,0.5471305475640225,3.8176876075221813,[BOS]O=C(NC[C@H]1CCN(C(=O)c2cnc3c(F)c(F)ccc3c2)[C@@H]1c1cccnc1)[C@@H]1CC=CCC1[EOS],44
11.9,CC(=Cc1cccnc1)C(=O)NCC12CCCOC1CCN(C(=O)c1ncccc1-c1ccccc1)C2,0.5124167160744115,3.7663161178212805,[BOS]CC(=Cc1cccnc1)C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1ncccc1-c1ccccc1)C2[EOS][EOS][EOS][EOS],44
12.6,O=C(NCC1CCN(C(=O)C2CCc3ccccc3C2)C1c1cccnc1)C1COc2ccccc2O1,0.58110452751542,3.7831772893672397,[BOS]O=C(NC[C@@H]1CCN(C(=O)[C@@H]2CCc3ccccc3C2)[C@@H]1c1cccnc1)[C@@H]1COc2ccccc2O1[EOS],44
12.7,O=C(NC1CCCN(c2ccccn2)C1)c1ccc(-c2cccc3[nH]ncc23)cc1Cl,0.4917994598250922,2.8080924888074694,[BOS]O=C(N[C@@H]1CCCN(c2ccccn2)C1)c1ccc(-c2cccc3[nH]ncc23)cc1Cl[EOS],44
13.3,O=C(CCn1[nH]c(=O)c2ccccc2c1=O)N1CCc2cc(Cl)c(Cl)cc2C1C1CC2CC2CC=CCO1,0.46620758417138003,4.689081485588306,[BOS]O=C(CCn1[nH]c(=O)c2ccccc2c1=O)N1CCc2cc(Cl)c(Cl)cc2[C@H]1C1CC2CC2CC=CCO1[EOS],44
13.3,O=C(NCC1OCC2CCN(C(=O)c3cccnc3-c3cccc(F)c3)CC21)c1n[nH]c2c1CCCC2,0.5560586637958537,3.8788223172276464,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)c3cccnc3-c3cccc(F)c3)C[C@@H]21)c1n[nH]c2c1CCCC2[EOS],44
13.4,O=C(Nc1ccc2ccccc2c1)Nc1cc(F)cc2c1-c1ccc(F)cc1C2=O,0.3833388766765102,2.2255352134179756,[BOS]O=C(Nc1ccc2ccccc2c1)Nc1cc(F)cc2c1-c1ccc(F)cc1C2=O[EOS],44
13.2,CC1(C2CCN(C(=O)c3nc(-c4ccccc4)n(-c4cccc(C(F)(F)F)c4)n3)CC2)NC(=O)NC1=O,0.5211622727114195,3.258028713763908,[BOS]C[C@]1(C2CCN(C(=O)c3nc(-c4ccccc4)n(-c4cccc(C(F)(F)F)c4)n3)CC2)NC(=O)NC1=O[EOS],44
12.6,O=C(NCC1CCc2ccccc2C1)C1Cc2ccccc2CN1S(=O)(=O)c1ccc(F)c(F)c1F,0.5208287856718014,3.333534502876047,[BOS]O=C(NC[C@H]1CCc2ccccc2C1)[C@@H]1Cc2ccccc2CN1S(=O)(=O)c1ccc(F)c(F)c1F[EOS],44
13.5,O=C(c1ccc2c(c1)COC2)N1CCC(C2CCCCN2C(=O)c2ccc3n[nH]c(C(F)(F)F)c3c2)CC1,0.511627138382448,3.3535611267264356,[BOS]O=C(c1ccc2c(c1)COC2)N1CCC([C@@H]2CCCCN2C(=O)c2ccc3n[nH]c(C(F)(F)F)c3c2)CC1[EOS],44
12.4,Cc1cc(C)cc(C(=O)NCC2OCC3CCN(C(=O)C4CCc5[nH]c(=O)[nH]c(=O)c5C4)CC32)c1,0.6041317844710551,4.143401201660179,[BOS]Cc1cc(C)cc(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)[C@H]4CCc5[nH]c(=O)[nH]c(=O)c5C4)C[C@@H]32)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],44
13.9,O=C1COC2(CCC(C(=O)Nc3nc(Cc4c[nH]c5cc(F)c6c(c45)C(=O)N=N6)cs3)CC2)O1,0.5389037420545906,4.064534869778797,[BOS]O=C(Nc1nc(Cc2c[nH]c3cc(F)c4c(c23)C(=O)N=N4)cs1)C1CCC2(CC1)OC(=O)CO2[EOS],44
12.3,Cc1nc(-c2cc(NC(=O)NC(C)c3ccc4c(c3)CC(=O)N4)cc(C(F)(F)F)c2)n[nH]1,0.48377334942691774,3.1496871123645613,[BOS]Cc1nc(-c2cc(NC(=O)N[C@H](C)c3ccc4c(c3)CC(=O)N4)cc(C(F)(F)F)c2)n[nH]1[EOS][EOS],44
12.7,O=C(NC1CN(c2ncnc3ccc(F)cc23)CC2CCCOC21)c1cccc(C(F)(F)F)c1Cl,0.5120784321339713,3.7746446801525213,[BOS]O=C(N[C@@H]1CN(c2ncnc3ccc(F)cc23)C[C@@H]2CCCO[C@H]21)c1cccc(C(F)(F)F)c1Cl[EOS],44
13.4,Cn1c(=O)[nH]c2cc(C(=O)N3CCC(C4C(=O)Nc5cc(C6CCC(N)CC6)c(Cl)cc54)CC3)ccc21,0.48134879074105175,3.4671786968577365,[BOS]Cn1c(=O)[nH]c2cc(C(=O)N3CCC([C@H]4C(=O)Nc5cc(C6CCC(N)CC6)c(Cl)cc54)CC3)ccc21[EOS][EOS][EOS],44
13.8,Cc1ccc2nc(C(=O)N3CC4COCC(C3)C4NC(=O)C3=C4c5ccccc5C(=O)N4CC3)nc(C)c2c1,0.5662507394422047,4.631709613251022,[BOS]Cc1ccc2nc(C(=O)N3C[C@H]4COC[C@@H](C3)[C@H]4NC(=O)C3=C4c5ccccc5C(=O)N4CC3)nc(C)c2c1[EOS],44
13.5,O=C1CCc2ccc(C(=O)N3C4CCC3CC(NC(=O)C3CCc5[nH]c(=O)[nH]c(=O)c5C3)C4)nc2N1,0.48576457450924637,4.789483644319386,[BOS]O=C1CCc2ccc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)[C@@H]3CCc5[nH]c(=O)[nH]c(=O)c5C3)C4)nc2N1[EOS],44
13.6,O=C1CCCc2cc(C(=O)N3CCC4C3CC(=O)N4c3ccccc3Oc3cccc4c3COC=N4)c(F)cc21,0.4463026034775956,4.030477562509806,[BOS]O=C1C[C@@H]2[C@H](CCN2C(=O)c2cc3c(cc2F)C(=O)CCC3)N1c1ccccc1Oc1cccc2c1COC=N2[EOS],44
12.4,Cc1ccc(C(=O)N2CCC3OCCCC3(CNC(=O)C3Cc4n[nH]c(C(F)(F)F)c4C3)C2)nc1C,0.665720019789563,4.446942840030124,[BOS]Cc1ccc(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)[C@H]3Cc4n[nH]c(C(F)(F)F)c4C3)C2)nc1C[EOS],44
12.2,Cc1nc2ccc(F)cn2c1C(=O)NCC1CCN(C(=O)C2CC3CCC(C2)O3)C1c1cccnc1,0.5906852194861052,4.8794336160847775,[BOS]Cc1nc2ccc(F)cn2c1C(=O)NC[C@H]1CCN(C(=O)C2C[C@H]3CC[C@@H](C2)O3)[C@H]1c1cccnc1[EOS],44
12.1,Cc1cccc(C(=O)NCC2OCC3CCN(C(=O)c4ccc(-n5c(=O)[nH][nH]c5=O)cc4)CC32)c1F,0.4901136270737026,3.891149676641385,[BOS]Cc1cccc(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)c4ccc(-n5c(=O)[nH][nH]c5=O)cc4)C[C@@H]32)c1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],44
12.3,CC(NC(=O)N1CCC(n2ncc3ccccc32)C1)c1ccc(F)c2ccccc12,0.5215563576672453,3.1266143376815965,[BOS]C[C@@H](NC(=O)N1CC[C@@H](n2ncc3ccccc32)C1)c1ccc(F)c2ccccc12[EOS],44
12.7,O=C(NCC1CCc2ccccc21)Nc1cc(-c2ccco2)nn1-c1cc(F)c2c(c1)OCOC2,0.425396258692641,3.3986139970395293,[BOS]O=C(NC[C@H]1CCc2ccccc21)Nc1cc(-c2ccco2)nn1-c1cc(F)c2c(c1)OCOC2[EOS],44
