rv,smi,cur_sentence,elapsed_time,seed
12.1,COc1cc2c(O)cccc2cc1C(=O)NC1CC2CCC(C1)N2C(=O)CC1OCCc2ccccc21,[BOS]COc1cc2c(O)cccc2cc1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C[C@H]1OCCc2ccccc21[EOS][EOS][EOS][EOS],4737.628670930862,42
11.1,C=CCOC(C)C(=O)N1CCC(C2CCCCN2C(=O)c2ccncc2-c2cccc(C)c2)CC1,[BOS]C=CCO[C@H](C)C(=O)N1CCC([C@@H]2CCCCN2C(=O)c2ccncc2-c2cccc(C)c2)CC1[EOS][EOS][EOS][EOS][EOS][EOS],4758.052644491196,42
11.9,O=C(OC1CCN(c2nncc3ccccc23)CC1)C1CCCN(C(=O)Cc2ccccc2)C1,[BOS]O=C(OC1CCN(c2nncc3ccccc23)CC1)[C@H]1CCCN(C(=O)Cc2ccccc2)C1[EOS],4776.141922235489,42
11.6,CC12CCC(=O)N1c1ccccc1C(=O)N2CC(=O)Nc1nnc(CC2CCCCC2)s1,[BOS]C[C@@]12CCC(=O)N1c1ccccc1C(=O)N2CC(=O)Nc1nnc(CC2CCCCC2)s1[EOS][EOS],4740.964312553406,42
11.9,O=C1CC2(CCN(C(=O)C(=O)N3CCc4c3cccc4C(F)(F)F)C2)Oc2ccccc21,[BOS]O=C1C[C@@]2(CCN(C(=O)C(=O)N3CCc4c3cccc4C(F)(F)F)C2)Oc2ccccc21[EOS][EOS][EOS][EOS][EOS][EOS],4819.157019138336,42
11.9,O=C1CCc2ccc(C(=O)N3CCCCC3C3CCN(C(=O)C(=O)c4ccc(Cl)cc4)CC3)nc2N1,[BOS]O=C1CCc2ccc(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)C(=O)c4ccc(Cl)cc4)CC3)nc2N1[EOS],4720.85264134407,42
11.4,CN1C(=O)CCC1C(=O)N1C2CCC1CC(NC(=O)c1ccc(C3=c4ccccc4=NC3)cc1)C2,[BOS]CN1C(=O)CC[C@H]1C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1ccc(C3=c4ccccc4=NC3)cc1)C2[EOS],4804.230344772339,42
11.3,O=C1CC(C(=O)NC2C3COCC2CN(C(=O)c2cc(-c4ccccc4)n4ccccc24)C3)CCN1,[BOS]O=C1C[C@@H](C(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(=O)c2cc(-c4ccccc4)n4ccccc24)C3)CCN1[EOS],4762.452472925186,42
12.3,Cc1[nH]nc(C(=O)N2CCC3OCCCC3(CNC(=O)C3CCCC4CCCCC43)C2)c1F,[BOS]Cc1[nH]nc(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)[C@@H]3CCC[C@@H]4CCCC[C@@H]43)C2)c1F[EOS][EOS],4742.412644147873,42
12.1,CC1(c2ccccc2)CCCN(C(=O)NCC2CC(c3ccc4c(c3)CCO4)=NO2)CC1,[BOS]C[C@@]1(c2ccccc2)CCCN(C(=O)NC[C@@H]2CC(c3ccc4c(c3)CCO4)=NO2)CC1[EOS],4754.586194038391,42
