rv,smi,cur_sentence,elapsed_time,seed
10.7,c1ccc(COc2cc3c(nn2)-c2ccccc2CCCC3)cc1,[BOS]c1ccc(COc2cc3c(nn2)-c2ccccc2CCCC3)cc1[EOS][EOS],4280.335309267044,42
11.5,O=C(c1cccc(-c2ccc(CN3C(=O)c4ccccc4C3=O)cn2)c1)N1CCCC1,[BOS]O=C1c2ccccc2C(=O)N1Cc1ccc(-c2cccc(C(=O)N3CCCC3)c2)nc1[EOS][EOS],4264.839517831802,42
10.9,O=C(COC(=O)c1ccc(Oc2ccccc2)cc1)NC(=O)Nc1ccc2c(c1)OCCO2,[BOS]O=C(COC(=O)c1ccc(Oc2ccccc2)cc1)NC(=O)Nc1ccc2c(c1)OCCO2[EOS],4211.489698648453,42
11.4,CC1CC(=O)c2sc(NC(=O)C(C)NC(=O)OCC3c4ccccc4-c4ccccc43)nc2C1,[BOS]C[C@@H]1CC(=O)c2sc(NC(=O)[C@@H](C)NC(=O)OCC3c4ccccc4-c4ccccc43)nc2C1[EOS][EOS][EOS][EOS][EOS],4212.798616409302,42
11.5,O=C(OC1CCOc2c(F)cc(F)cc21)c1nc(-c2ccc(F)cc2)n2c1CCCCC2,[BOS]O=C(O[C@@H]1CCOc2c(F)cc(F)cc21)c1nc(-c2ccc(F)cc2)n2c1CCCCC2[EOS],4163.108324289322,42
11.1,Cc1nnc(CC(=O)Nc2cc(C3CCCCN3C(=O)CCN3Cc4ccccc4C3=O)[nH]n2)o1,[BOS]Cc1nnc(CC(=O)Nc2cc([C@H]3CCCCN3C(=O)CCN3Cc4ccccc4C3=O)[nH]n2)o1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4152.7747757434845,42
10.8,CC(C)(C)OC(=O)N1CCCn2cnc(CNC(=O)c3ccc(N4C(=O)C=CC4=O)cc3)c2C1,[BOS]CC(C)(C)OC(=O)N1CCCn2cnc(CNC(=O)c3ccc(N4C(=O)C=CC4=O)cc3)c2C1[EOS][EOS],4218.689157247543,42
11.0,O=C(Cc1ccc(C(F)(F)F)cc1)NCC1OCC2CCN(C(=O)c3noc4c3CCCC4)CC21,[BOS]O=C(Cc1ccc(C(F)(F)F)cc1)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3noc4c3CCCC4)C[C@@H]21[EOS][EOS][EOS][EOS],4192.571483373642,42
11.0,O=C(C1=Cc2cc(N3CCNS3(=O)=O)ccc2OC1)N1CCN(c2ccccc2Cl)CC1,[BOS]O=C(C1=Cc2cc(N3CCNS3(=O)=O)ccc2OC1)N1CCN(c2ccccc2Cl)CC1[EOS],4230.188348293304,42
10.9,CC1(C)CC(c2nc(Cc3cc4ccccc4[nH]3)no2)c2ccccc2O1,[BOS]CC1(C)C[C@H](c2nc(Cc3cc4ccccc4[nH]3)no2)c2ccccc2O1[EOS][EOS][EOS][EOS],4209.708013057709,42
