rv,smi,cur_sentence,elapsed_time,seed
9.2,Cn1c(NC(=O)c2cccc3c2OCC3)nc2ccc(F)cc21,[BOS]Cn1c(NC(=O)c2cccc3c2OCC3)nc2ccc(F)cc21[EOS],4077.883853197098,42
9.3,Cc1cc(Cl)cc(C(=O)NC2C3COCC2CN(C(=O)c2ccc4cc(C)ccc4n2)C3)c1,[BOS]Cc1cc(Cl)cc(C(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(=O)c2ccc4cc(C)ccc4n2)C3)c1[EOS][EOS][EOS][EOS][EOS][EOS],4068.410275697708,42
9.6,Cc1nc(F)ccc1C(=O)NC1CC2CCC(C1)N2C(=O)c1cc2n(n1)Cc1ccccc1NC2=O,[BOS]Cc1nc(F)ccc1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc2n(n1)Cc1ccccc1NC2=O[EOS][EOS],4037.265299320221,42
9.3,O=c1ccc2cc(S(=O)(=O)N3CCC(c4c[nH]c5ccc(F)cc45)CC3)ccc2[nH]1,[BOS]O=c1ccc2cc(S(=O)(=O)N3CCC(c4c[nH]c5ccc(F)cc45)CC3)ccc2[nH]1[EOS][EOS],4046.3903408050537,42
9.2,C=C1C(OCC=Cc2ccccc2)=C(C)C(C2=CC(=C3C=CC(=O)C(O)=C3O)NO2)CC1C,[BOS]C=C1C(C)CC(C2=CC(=C3C=CC(=O)C(O)=C3O)NO2)C(C)=C1OCC=Cc1ccccc1[EOS][EOS],4067.220788002014,42
9.6,O=C(NCC12CCCOC1CCN(C(=O)CC1CCCC1)C2)c1ccc(-c2nc3ccccc3[nH]2)cc1,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)CC1CCCC1)C2)c1ccc(-c2nc3ccccc3[nH]2)cc1[EOS][EOS][EOS],4026.160513162613,42
9.6,O=C1CCc2ccc(C(=O)N3CCC4COC(CNC(=O)c5cc(-c6ccco6)no5)C4C3)cc2N1,[BOS]O=C1CCc2ccc(C(=O)N3CC[C@H]4CO[C@@H](CNC(=O)c5cc(-c6ccco6)no5)[C@H]4C3)cc2N1[EOS],4123.327442169189,42
8.8,O=C(c1nc(-c2cnccn2)no1)N1CCCCC1c1cc2ccccc2[nH]1,[BOS]O=C(c1nc(-c2cnccn2)no1)N1CCCC[C@H]1c1cc2ccccc2[nH]1[EOS][EOS][EOS],4101.530316591263,42
9.4,O=C1NC(=O)N2CCN(C(=O)CC(Cc3ccccc3)c3ccccc3)CC12,[BOS]O=C1NC(=O)N2CCN(C(=O)C[C@@H](Cc3ccccc3)c3ccccc3)C[C@H]12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4047.508981704712,42
9.4,O=C(CC(NC(=O)C(F)(F)F)c1ccccc1)Nc1cccc2cccc(F)c12,[BOS]O=C(C[C@@H](NC(=O)C(F)(F)F)c1ccccc1)Nc1cccc2cccc(F)c12[EOS][EOS][EOS][EOS][EOS][EOS],4029.808436393738,42
