rv,smi,cur_sentence,elapsed_time,seed
11.0,CC(Oc1cccc2ccccc12)C(=O)N1CCN(c2nccc(C(C)C)n2)CC1,[BOS]CC(C)c1ccnc(N2CCN(C(=O)[C@@H](C)Oc3cccc4ccccc34)CC2)n1[EOS][EOS][EOS][EOS][EOS][EOS],4117.496498346329,42
11.0,c1cncc(-c2nc(N3CCC(c4nnc5n4CCCC5)CC3)c3ccccc3n2)c1,[BOS]c1cncc(-c2nc(N3CCC(c4nnc5n4CCCC5)CC3)c3ccccc3n2)c1[EOS][EOS][EOS][EOS][EOS],4111.7261254787445,42
10.6,O=C1NCc2c(cccc2NC(=O)C2CC23C(=O)Nc2ccccc23)N1,[BOS]O=C1NCc2c(NC(=O)[C@@H]3C[C@]34C(=O)Nc3ccccc34)cccc2N1[EOS][EOS],4097.596591472626,42
10.4,CC1=C(C(=O)N2CCC3OCCCC3(CNC(=O)c3cc(-c4ccccc4Cl)n[nH]3)C2)CCO1,[BOS]CC1=C(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3cc(-c4ccccc4Cl)n[nH]3)C2)CCO1[EOS][EOS][EOS][EOS][EOS],4102.404443502426,42
10.4,Cc1oc2cc(O)ccc2c1C(=O)N1CCC(c2c[nH]c3ccccc23)CC1,[BOS]Cc1oc2cc(O)ccc2c1C(=O)N1CCC(c2c[nH]c3ccccc23)CC1[EOS][EOS],4219.908202171326,42
10.9,O=C1C2C3CCC(C3)C2C(=O)N1c1ccc2c3c(cccc13)C(=O)N2C1CCS(=O)(=O)C1,[BOS]O=C1[C@H]2[C@H]3CC[C@H](C3)[C@H]2C(=O)N1c1ccc2c3c(cccc13)C(=O)N2[C@@H]1CCS(=O)(=O)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4167.5135905742645,42
10.9,O=C(Nc1ccccc1-c1cccc(CN2CCOCC2)c1)c1ccc(CN2CCNCC2)cc1,[BOS]O=C(Nc1ccccc1-c1cccc(CN2CCOCC2)c1)c1ccc(CN2CCNCC2)cc1[EOS][EOS],4126.546185016632,42
10.3,Cc1oc(-c2ccccc2)cc1C(=O)N1CCc2n[nH]c(=O)cc2C1,[BOS]Cc1oc(-c2ccccc2)cc1C(=O)N1CCc2n[nH]c(=O)cc2C1[EOS][EOS][EOS][EOS][EOS],4057.970593214035,42
10.5,CC1CCCC(N(Cc2ccc3c(c2)OCO3)C(=O)C(=O)Nc2cncc3ccccc23)C1C,[BOS]C[C@H]1[C@H](C)CCC[C@H]1N(Cc1ccc2c(c1)OCO2)C(=O)C(=O)Nc1cncc2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4176.656759738922,42
10.3,CCC1CC(C(F)(F)F)n2nc(C3CCCN3C(=O)c3nc(O)c(C)cc3C)cc2N1,[BOS]CC[C@@H]1C[C@H](C(F)(F)F)n2nc([C@@H]3CCCN3C(=O)c3nc(O)c(C)cc3C)cc2N1[EOS],4153.591007947922,42
