rv,smi,cur_sentence,elapsed_time,seed
11.6,Cn1c(C(=O)N2CC3COCC(C2)C3NC(=O)Cc2c[nH]c3ccccc23)ccc1C(F)(F)F,[BOS]Cn1c(C(=O)N2C[C@H]3COC[C@@H](C2)[C@H]3NC(=O)Cc2c[nH]c3ccccc23)ccc1C(F)(F)F[EOS][EOS][EOS][EOS][EOS],4291.397355794907,42
12.1,O=C(CN1CCN(C(=O)c2ccccc2Cc2ccccc2)CC1)Nc1ccc(F)cc1,[BOS]O=C(CN1CCN(C(=O)c2ccccc2Cc2ccccc2)CC1)Nc1ccc(F)cc1[EOS][EOS][EOS][EOS][EOS],4283.536590576172,42
11.8,CC(NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2C)c1ccc2c(c1)CCCC2,[BOS]C[C@@H](NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2C)c1ccc2c(c1)CCCC2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4192.4512140750885,42
12.0,Nc1ncc2c(n1)CN(C(=O)C1CCN(c3ccc4cccc(O)c4n3)CC1)CC2,[BOS]Nc1ncc2c(n1)CN(C(=O)C1CCN(c3ccc4cccc(O)c4n3)CC1)CC2[EOS][EOS][EOS][EOS],4177.67418885231,42
12.7,O=C(NCC12CCCOC1CCN(C(=O)C1(F)CCCCC1(F)F)C2)c1[nH]nc2c(F)cccc12,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)[C@]1(F)CCCCC1(F)F)C2)c1[nH]nc2c(F)cccc12[EOS][EOS][EOS][EOS],4245.044832229614,42
11.7,CC1(C)CCc2cccc(C(=O)N3CCOC4(CCN(C(=O)c5cccc6cnccc56)C4)C3)c2O1,[BOS]CC1(C)CCc2cccc(C(=O)N3CCO[C@@]4(CCN(C(=O)c5cccc6cnccc56)C4)C3)c2O1[EOS],4221.474539756775,42
11.7,Cc1cccnc1NC(=O)NC1CCN(C(=O)c2cccc3ccccc23)CC1,[BOS]Cc1cccnc1NC(=O)NC1CCN(C(=O)c2cccc3ccccc23)CC1[EOS][EOS],4258.429705381393,42
11.7,CCC(C)C(C(=O)NCC1OCC2CCN(C(=O)C3CCc4ccccc4C3)CC21)c1ccccc1,[BOS]CC[C@H](C)[C@@H](C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H]3CCc4ccccc4C3)C[C@@H]21)c1ccccc1[EOS][EOS][EOS][EOS][EOS],4288.114617347717,42
11.4,CC1c2nncn2CCN1C(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1,[BOS]C[C@H]1c2nncn2CCN1C(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4252.251358270645,42
11.6,CC1(c2ccc(C(F)(F)F)cc2)CCCN1C(=O)Nc1nnc(C2CCOCC2)s1,[BOS]C[C@]1(c2ccc(C(F)(F)F)cc2)CCCN1C(=O)Nc1nnc(C2CCOCC2)s1[EOS][EOS][EOS][EOS],4239.038434267044,42
11.3,CC1CCC(N2CC(c3nc(Cc4cccc5ccccc45)no3)CC2=O)CC1,[BOS]CC1CCC(N2C[C@@H](c3nc(Cc4cccc5ccccc45)no3)CC2=O)CC1[EOS],4245.5717515945435,42
12.6,O=C1NCCCn2nc(C(=O)N3CC4COCC(C3)C4NC(=O)C3CCc4ccccc4C3O)cc21,[BOS]O=C1NCCCn2nc(C(=O)N3C[C@H]4COC[C@@H](C3)[C@H]4NC(=O)[C@H]3CCc4ccccc4[C@H]3O)cc21[EOS][EOS][EOS][EOS],4315.426383733749,42
12.6,O=C(c1cc(F)cc(F)c1F)N1CCC(C2CCCCN2C(=O)c2cccc3cn[nH]c23)CC1,[BOS]O=C(c1cc(F)cc(F)c1F)N1CCC([C@@H]2CCCCN2C(=O)c2cccc3cn[nH]c23)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4341.667989253998,42
11.8,Cc1cc2nc(C(=O)N3CCC4OCCCC4(CNC(=O)Cc4ccc(F)cc4F)C3)[nH]c2cc1C,[BOS]Cc1cc2nc(C(=O)N3CC[C@H]4OCCC[C@@]4(CNC(=O)Cc4ccc(F)cc4F)C3)[nH]c2cc1C[EOS][EOS][EOS][EOS][EOS],4273.448380231857,42
12.4,O=C(NCC12CCCOC1CCN(C(=O)c1ccc3ncncc3c1)C2)c1cncc(C(F)(F)F)c1,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1ccc3ncncc3c1)C2)c1cncc(C(F)(F)F)c1[EOS][EOS][EOS],4282.137822628021,42
11.9,CC1CC(=O)Nc2ccc(C(=O)N3CCC(C(=O)c4ccc5c(c4)NC(=O)C(C)O5)CC3)cc2N1,[BOS]C[C@@H]1Oc2ccc(C(=O)C3CCN(C(=O)c4ccc5c(c4)N[C@H](C)CC(=O)N5)CC3)cc2NC1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4227.829185009003,42
11.2,O=C(C1CCN(S(=O)(=O)c2cccnc2)CC1)N1CCc2ccccc2C1Cc1ccccc1,[BOS]O=C(C1CCN(S(=O)(=O)c2cccnc2)CC1)N1CCc2ccccc2[C@H]1Cc1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4238.845234155655,42
11.7,N#CC1(C(=O)N2CCCCC2C2CCN(C(=O)c3cccnc3-c3cccc(F)c3)CC2)CC1,[BOS]N#CC1(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3cccnc3-c3cccc(F)c3)CC2)CC1[EOS][EOS][EOS][EOS][EOS],4254.676847934723,42
12.5,CN1N=C(C(=O)N2CCOC3(CCN(C(=O)c4ccc5n[nH]nc5c4)C3)C2)CCC1=O,[BOS]CN1N=C(C(=O)N2CCO[C@]3(CCN(C(=O)c4ccc5n[nH]nc5c4)C3)C2)CCC1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4248.488092422485,42
11.6,Oc1ccc(-c2ccc3c(c2)C2(NC3)c3ccccc3-c3ncccc32)cc1,[BOS]Oc1ccc(-c2ccc3c(c2)C2(NC3)c3ccccc3-c3ncccc32)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4294.049380064011,42
11.8,O=C1Nc2c(cccc2C(=O)N2CCC(CNC(=O)c3ccccc3)C2c2cccnc2)C1=O,[BOS]O=C1Nc2c(cccc2C(=O)N2CC[C@H](CNC(=O)c3ccccc3)[C@H]2c2cccnc2)C1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4239.749177932739,42
11.5,O=C(NC1CC2CCC(C1)N2C(=O)C1CC(=O)N(Cc2ccccc2)C1)C1C2Sc3ccccc3C21,[BOS]O=C1C[C@H](C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)[C@@H]2[C@@H]4Sc5ccccc5[C@H]42)C3)CN1Cc1ccccc1[EOS][EOS],4199.7338218688965,42
