unique_idx,smiles,affinity,source
0,C[C@H](C)c1ccc(C(=O)N[C@@H]2CN(C(=O)Cc3ccc[nH]3)C[C@H]2C)cc1,-8.6,docking
1,Cc1cc(C)cc(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3CC(=O)N(C4CCCC4)C3)[nH]n2)c1,-8.7,docking
2,CCNC(=O)c1ccc(-c2cc(-c3ccccc3)ccn2)c(OC)c1,-9.0,docking
3,CNCCCc1cc(F)ccc1Br,-6.2,docking
4,CC(=O)c1ccc(Cl)c(S(=O)(=O)N2C[C@@H](C)Oc3ccc(Cl)cc32)c1,-9.1,docking
5,Cc1cc(C(=O)N2CCC([C@H]3CCCCN3C(=O)c3nc(C)c(C)[nH]c3=O)CC2)ccn1,-8.7,docking
6,CC(C)C(=O)N1CCCN(C(=O)[C@@H]2C[C@H]2c2cccc(F)c2F)CC1,-9.3,docking
7,CC[C@H](C)C(=O)N(C)CCNC(=O)c1ccc(C)c(C)c1,-7.6,docking
8,CC[C@H](NC(=O)N[C@H](CO)[C@@H]1CCCOC1)c1cc(F)ccc1F,-7.8,docking
9,C[C@H](NC(=O)Nc1ccc(NC(=O)OC(C)(C)C)cc1)c1ccc(N2CCOC2=O)cc1,-7.5,docking
10,CC[C@@H](NC(=O)N1CCC(CC(=O)NC)CC1)c1ccccc1OCC(=O)N(C)C,-7.8,docking
11,CN(CCNC(=O)c1cocn1)C(=O)c1ccc2[nH]ccc2n1,-7.6,docking
12,Cc1ccc(-c2noc(-c3ccc(S(C)(=O)=O)cc3F)n2)cc1Cl,-8.4,docking
13,CC(=O)Nc1ccc(C(=O)N(CCC#N)Cc2cccnc2)cc1,-7.3,docking
14,COc1ccc(CN(C)C(=O)C(=O)NCc2ccc(C)cc2OC(C)C)cc1,-7.9,docking
15,Cc1cccc(C(=O)N2CCOC[C@]3(C2)CN(C(=O)c2cn(C)nc2C(F)(F)F)CCO3)c1,0.0,docking
16,CC(C)CN1CC2(CCN(C(=O)c3cnccn3)CC2)CC1=O,-6.5,docking
17,CCOc1ccc(C2(CNC(=O)NCC(C)(C)OCC)CCCC2)cc1,-7.4,docking
18,C[C@@H]1CN(C(=O)C(=O)NCCc2csc(C)n2)C[C@H](CC)O1,-7.3,docking
19,CC[C@@H](CNC(=O)Cn1cccn1)NC(=O)c1cccc(OC)c1,-7.3,docking
20,Cc1cccc(NC(=O)N[C@H]2CCO[C@]3(CCSC3)C2)c1,-8.0,docking
21,COCC(=O)NC[C@@H]1CCCN1C(=O)c1ccc(N(C)C)cc1,-7.4,docking
22,COC(=O)c1cccc(O[C@@H]2CCc3ccccc32)c1,-8.3,docking
23,CCOC(=O)[C@H](CC)N(C(=O)COc1ccccc1Br)C1CC1,-6.8,docking
24,CCN(CC(=O)Nc1cccc(OC)c1)C(=O)[C@H]1CC(=O)N(c2ccc(F)cc2)C1,-8.7,docking
25,CC[C@@H](C)NC(=O)N[C@@H]1CCN(c2ccc(Cl)cc2F)C1,-7.2,docking
26,CCC(=O)NC[C@@H](CC)NC(=O)c1ccnc2ccncc12,-7.3,docking
27,CC[C@@H](NC(=O)C(=O)Nc1ccc(OC)c(OC(C)C)c1)c1ccccc1OC,-7.7,docking
28,CCC(=O)N1C[C@@H](CNC(=O)c2ccncc2C)[C@H](C)C1,-8.0,docking
29,C[C@H](C(=O)N1CC[C@@]2(CN(C(=O)c3ccc(F)c(F)c3)CCO2)C1)c1ccccc1,-9.0,docking
30,CC(=O)N1CCC[C@H](C(=O)N[C@@H]2CN(C(=O)CC(C)(C)C)C[C@H]2O)C1,-6.9,docking
31,C[C@@H]1CCc2ccccc2N1C(=O)[C@@H]1CCCN(C(=O)COc2ccccc2)C1,-9.0,docking
