rv,smi,cur_sentence,elapsed_time,seed
11.4,CC(C)(Oc1ccc2ccccc2c1)C(=O)Nc1cc(C2CCCCN2C(=O)C2CCCO2)[nH]n1,[BOS]CC(C)(Oc1ccc2ccccc2c1)C(=O)Nc1cc([C@H]2CCCCN2C(=O)[C@H]2CCCO2)[nH]n1[EOS][EOS][EOS][EOS][EOS][EOS],4791.115880012512,42
11.5,O=C1NCCN(C(=O)c2nn(-c3ccccc3)c3c2CCC3)C1c1c(F)cccc1Cl,[BOS]O=C1NCCN(C(=O)c2nn(-c3ccccc3)c3c2CCC3)[C@@H]1c1c(F)cccc1Cl[EOS][EOS][EOS],4700.599807977676,42
11.7,O=C1NC2(CCCCC2)C(=O)N1Cc1ccc(-c2ccc(Cc3ccccc3)cc2)nc1,[BOS]O=C1NC2(CCCCC2)C(=O)N1Cc1ccc(-c2ccc(Cc3ccccc3)cc2)nc1[EOS][EOS],4696.532027482986,42
11.5,CC1CCCN(C(=O)OCC2CCCCN2C(=O)c2ccc(N3NC(=O)CCC3=O)cc2)C1,[BOS]C[C@H]1CCCN(C(=O)OC[C@H]2CCCCN2C(=O)c2ccc(N3NC(=O)CCC3=O)cc2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4668.6976528167725,42
12.1,Nc1nc2cc(C(=O)NC3CC4CCC(C3)N4C(=O)c3ccc4c(c3)NC(=O)CC4)ccc2s1,[BOS]Nc1nc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)c3ccc4c(c3)NC(=O)CC4)ccc2s1[EOS][EOS],4660.3564889431,42
11.3,CC1CC(C)CN(C(=O)c2ccccc2NC(=O)NC2CC2c2ccc(F)cc2F)C1,[BOS]C[C@H]1C[C@H](C)CN(C(=O)c2ccccc2NC(=O)N[C@@H]2C[C@H]2c2ccc(F)cc2F)C1[EOS][EOS][EOS][EOS],4711.984724283218,42
11.8,Cc1cn(CC(=O)Nc2cc(C3CCCCN3C(=O)C3CC3c3ccccc3)[nH]n2)c(=O)[nH]c1=O,[BOS]Cc1cn(CC(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3C[C@@H]3c3ccccc3)[nH]n2)c(=O)[nH]c1=O[EOS][EOS][EOS][EOS],4790.823246955872,42
12.3,O=C(c1nc(-c2ccc(F)cc2)n2c1CCCCC2)N1CCC2(CC1)OCc1ccccc12,[BOS]O=C(c1nc(-c2ccc(F)cc2)n2c1CCCCC2)N1CCC2(CC1)OCc1ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4661.9624009132385,42
11.6,c1ccc(C2CN(c3nc(-c4ccncc4)nc4c3CCC4)C3CCCCC23)cc1,[BOS]c1ccc([C@@H]2CN(c3nc(-c4ccncc4)nc4c3CCC4)[C@H]3CCCC[C@H]23)cc1[EOS][EOS][EOS][EOS][EOS][EOS],4643.430552721024,42
11.8,Fc1c(C2(c3nc(Cc4ccc5c(c4)CCO5)no3)CC23CCCC3)ccc2[nH]ncc12,[BOS]Fc1c([C@@]2(c3nc(Cc4ccc5c(c4)CCO5)no3)CC23CCCC3)ccc2[nH]ncc12[EOS],4670.451386928558,42
