rv,smi,cur_sentence,elapsed_time,seed
11.7,CC(Nc1nc(-c2ccccc2)nc2ccccc12)C(=O)N1c2ccccc2CC1C,[BOS]C[C@@H](Nc1nc(-c2ccccc2)nc2ccccc12)C(=O)N1c2ccccc2C[C@@H]1C[EOS][EOS][EOS][EOS][EOS][EOS],4158.442666530609,42
11.7,CC(c1ccc(CC(=O)NC2CC3CCC(C2)N3C(=O)C2CCc3ccoc3C2)cc1)C(F)(F)F,[BOS]C[C@@H](c1ccc(CC(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)[C@H]2CCc3ccoc3C2)cc1)C(F)(F)F[EOS][EOS],4271.962743282318,42
11.5,CC1CCCC1C(=O)N1CCC2COC(CNC(=O)c3ccc(Oc4ccc(Cl)cn4)cc3)C2C1,[BOS]C[C@H]1CCC[C@@H]1C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)c3ccc(Oc4ccc(Cl)cn4)cc3)[C@H]2C1[EOS][EOS][EOS][EOS][EOS][EOS],4161.9127361774445,42
11.2,C=C(C(=O)N1CCC2COC(CNC(=O)c3ccc(N4CCCCC4)cc3)C2C1)C(F)(F)F,[BOS]C=C(C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)c3ccc(N4CCCCC4)cc3)[C@H]2C1)C(F)(F)F[EOS][EOS][EOS][EOS][EOS],4198.590512275696,42
10.9,Oc1ccc2c(-c3cn(CC(O)c4ccc(C(F)(F)F)cc4)nn3)cccc2c1,[BOS]Oc1ccc2c(-c3cn(C[C@@H](O)c4ccc(C(F)(F)F)cc4)nn3)cccc2c1[EOS][EOS][EOS][EOS][EOS],4171.088971614838,42
11.2,CC1CCCN(c2cc(C(=O)NCc3cccc(-c4ccc(F)cc4)c3)ccn2)C1,[BOS]C[C@H]1CCCN(c2cc(C(=O)NCc3cccc(-c4ccc(F)cc4)c3)ccn2)C1[EOS][EOS][EOS][EOS][EOS],4191.423008680344,42
11.1,O=C1NCCc2[nH]c(-c3ccnc(-c4cc5cc(F)ccc5[nH]4)c3)cc21,[BOS]O=C1NCCc2[nH]c(-c3ccnc(-c4cc5cc(F)ccc5[nH]4)c3)cc21[EOS][EOS],4264.918890953064,42
11.2,O=C(COc1ccc(C2NC(=O)c3ccccc3N2)cc1)NCC1CCN(c2ccccc2)C1,[BOS]O=C(COc1ccc([C@@H]2NC(=O)c3ccccc3N2)cc1)NC[C@H]1CCN(c2ccccc2)C1[EOS],4202.207940578461,42
12.3,O=C(NC1(Cc2ccc(Cl)cc2)CCCOC1)c1ccc2c(=O)n3c(nc2c1)CCCCC3,[BOS]O=C(N[C@]1(Cc2ccc(Cl)cc2)CCCOC1)c1ccc2c(=O)n3c(nc2c1)CCCCC3[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4201.65430188179,42
11.2,Cc1nc(C2COCCN2C(=O)C2CC2c2ccc(OCc3ccccc3)cc2)no1,[BOS]Cc1nc([C@@H]2COCCN2C(=O)[C@H]2C[C@H]2c2ccc(OCc3ccccc3)cc2)no1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4154.251083135605,42
11.1,Cc1nc(C2COCCN2C(=O)NCc2ccccc2Oc2ccccc2C)no1,[BOS]Cc1nc([C@H]2COCCN2C(=O)NCc2ccccc2Oc2ccccc2C)no1[EOS][EOS][EOS][EOS],4251.906596183777,42
10.9,O=C(NS(=O)(=O)c1cnn(C2CCOC2)c1)c1ccc(-n2cnc3ccccc32)cc1,[BOS]O=C(NS(=O)(=O)c1cnn([C@H]2CCOC2)c1)c1ccc(-n2cnc3ccccc32)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4221.442965507507,42
11.3,CC1CC(c2ccc(F)cc2)CN1C(=O)Nc1cccc(C2(C)COC(=O)N2)c1,[BOS]C[C@H]1C[C@H](c2ccc(F)cc2)CN1C(=O)Nc1cccc([C@@]2(C)COC(=O)N2)c1[EOS][EOS][EOS][EOS],4139.971778869629,42
11.8,O=C1CC(C(=O)Nc2cc(C3CCCCN3C(=O)c3cc4n(n3)CCC4)[nH]n2)=Cc2ccccc2N1,[BOS]O=C1CC(C(=O)Nc2cc([C@H]3CCCCN3C(=O)c3cc4n(n3)CCC4)[nH]n2)=Cc2ccccc2N1[EOS],4188.293908119202,42
11.4,CC1OCCC12CN(C(=O)Nc1cccc(C(=O)N3CCc4ccccc43)c1)CCO2,[BOS]C[C@H]1OCC[C@]12CN(C(=O)Nc1cccc(C(=O)N3CCc4ccccc43)c1)CCO2[EOS][EOS][EOS][EOS],4177.67144203186,42
11.0,CN1C(=O)c2cc(Cl)ccc2NC1c1cccc(N2C(=O)C3CCCCC3C2=O)c1,[BOS]CN1C(=O)c2cc(Cl)ccc2NC1c1cccc(N2C(=O)[C@H]3CCCC[C@@H]3C2=O)c1[EOS][EOS][EOS][EOS],4156.946556329727,42
11.3,CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)o1)C(=O)C1CN(C)C(=O)c2ccccc21,[BOS]CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)o1)C(=O)[C@H]1CN(C)C(=O)c2ccccc21[EOS][EOS][EOS],4235.091487169266,42
11.1,O=C(Cc1ccccc1Cc1ccc(F)cc1)N1CCOC2(COCCN(C(=O)C(F)F)C2)C1,[BOS]O=C(Cc1ccccc1Cc1ccc(F)cc1)N1CCO[C@]2(COCCN(C(=O)C(F)F)C2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4202.605954647064,42
11.4,Fc1ccc2n[nH]c(C3CCCN(c4nc(N5CCOCC5)c5ncsc5n4)C3)c2c1F,[BOS]Fc1ccc2n[nH]c([C@H]3CCCN(c4nc(N5CCOCC5)c5ncsc5n4)C3)c2c1F[EOS][EOS][EOS][EOS][EOS],4254.908488273621,42
11.5,O=C(NC(Cc1ccccc1)Cc1ccccc1)c1ccc(F)c(S(=O)(=O)N2CCCCC2)c1,[BOS]O=C(N[C@H](Cc1ccccc1)Cc1ccccc1)c1ccc(F)c(S(=O)(=O)N2CCCCC2)c1[EOS][EOS][EOS][EOS][EOS][EOS],4114.674421072006,42
11.5,O=C(C1COc2ccccc2O1)N1CCC(C2CCCCN2C(=O)c2noc3c2CCCC3)CC1,[BOS]O=C([C@H]1COc2ccccc2O1)N1CCC([C@@H]2CCCCN2C(=O)c2noc3c2CCCC3)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4264.195420742035,42
10.6,O=C(CCn1cncn1)N1CCOCC2(C1)CN(C(=O)c1ccc(Cc3ccc(F)cc3)cc1)CCO2,[BOS]O=C(CCn1cncn1)N1CCOC[C@@]2(C1)CN(C(=O)c1ccc(Cc3ccc(F)cc3)cc1)CCO2[EOS][EOS],4166.782160997391,42
11.8,O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)c1cccc2c1CCCC2,[BOS]O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)c1cccc2c1CCCC2[EOS][EOS],4213.099379777908,42
11.6,CC1CC(c2ccc(F)cc2)CN1C(=O)c1ccc2c(=O)n3c(nc2c1)CCCCC3,[BOS]C[C@H]1C[C@@H](c2ccc(F)cc2)CN1C(=O)c1ccc2c(=O)n3c(nc2c1)CCCCC3[EOS][EOS],4192.500366687775,42
11.9,CC1CC(=Cc2ccccc2)c2nc3ccccc3c(C(=O)NCC3CCCC(=O)N3)c2C1,[BOS]C[C@@H]1CC(=Cc2ccccc2)c2nc3ccccc3c(C(=O)NC[C@@H]3CCCC(=O)N3)c2C1[EOS],4166.265266180038,42
10.8,CC1(CNC(=O)c2ccc(N3C(=O)c4ccccc4C3=O)cc2)CCOC1C1CC1,[BOS]C[C@]1(CNC(=O)c2ccc(N3C(=O)c4ccccc4C3=O)cc2)CCO[C@@H]1C1CC1[EOS][EOS][EOS][EOS],4149.095241308212,42
11.5,CCCN1CCN(C(=O)c2cc(-c3ccc4c(c3)OCCO4)nc3ccccc23)C(C)(C)C1=O,[BOS]CCCN1CCN(C(=O)c2cc(-c3ccc4c(c3)OCCO4)nc3ccccc23)C(C)(C)C1=O[EOS][EOS][EOS][EOS],4188.5429837703705,42
11.6,CC1Oc2c(cccc2C(=O)NCc2cccc(NC(=O)c3ccccc3)c2)NC1=O,[BOS]C[C@H]1Oc2c(cccc2C(=O)NCc2cccc(NC(=O)c3ccccc3)c2)NC1=O[EOS][EOS][EOS][EOS][EOS],4154.231523513794,42
11.2,Fc1ccc(C2(c3nc(-c4ccc5n[nH]nc5c4)no3)CCCC2)c(F)c1,[BOS]Fc1ccc(C2(c3nc(-c4ccc5n[nH]nc5c4)no3)CCCC2)c(F)c1[EOS],4204.592143774033,42
11.2,CCCC1CNCc2cccc(-c3cccc(CC(=O)N4CCCC4)c3)c21,[BOS]CCC[C@@H]1CNCc2cccc(-c3cccc(CC(=O)N4CCCC4)c3)c21[EOS][EOS][EOS][EOS],4194.319712162018,42
11.5,O=C(C1CCN(S(=O)(=O)c2cc(F)ccc2F)CC1)N1CCOc2cc(F)c(F)cc21,[BOS]O=C(C1CCN(S(=O)(=O)c2cc(F)ccc2F)CC1)N1CCOc2cc(F)c(F)cc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4252.144010782242,42
11.5,O=C(CC1(c2cccc(Cl)c2)CCOCC1)N1CCC2(CC1)CNCc1ccccc1C2,[BOS]O=C(CC1(c2cccc(Cl)c2)CCOCC1)N1CCC2(CC1)Cc1ccccc1CNC2[EOS][EOS][EOS][EOS],4165.352749347687,42
11.2,CC1CCc2ccccc2N1C(=O)C1CC(=O)N(c2c[nH]c3ccccc23)C1,[BOS]CC1CCc2ccccc2N1C(=O)C1CC(=O)N(c2c[nH]c3ccccc23)C1[EOS],4180.398529052734,42
11.2,O=C1CCc2ccc(C(=O)N3CC4COCC(C3)C4NC(=O)C3CCc4ccccc4C3O)nc2N1,[BOS]O=C1CCc2ccc(C(=O)N3C[C@H]4COC[C@@H](C3)[C@H]4NC(=O)[C@H]3CCc4ccccc4[C@H]3O)nc2N1[EOS][EOS][EOS][EOS],4165.4745173454285,42
11.1,Cc1onc(C(=O)Nc2cc(C3CCCCN3C(=O)Cc3cccc(C(F)(F)F)c3)[nH]n2)c1C,[BOS]Cc1onc(C(=O)Nc2cc([C@H]3CCCCN3C(=O)Cc3cccc(C(F)(F)F)c3)[nH]n2)c1C[EOS][EOS][EOS][EOS][EOS],4175.1655514240265,42
11.2,CC1=CC(C)(C)N(C(=O)CN2C(=O)CN(c3cccc(C)c3C)C2=O)c2cc(C)c(C)cc21,[BOS]CC1=CC(C)(C)N(C(=O)CN2C(=O)CN(c3cccc(C)c3C)C2=O)c2cc(C)c(C)cc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4205.0293889045715,42
11.3,Cc1nnnn1-c1ccc(C(=O)N2CCCC(N3CCNC3=O)C2)c(F)c1,[BOS]Cc1nnnn1-c1ccc(C(=O)N2CCC[C@@H](N3CCNC3=O)C2)c(F)c1[EOS],4161.582150936127,42
11.3,Nc1nnnn1Cc1cccc(C(=O)N2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c1,[BOS]Nc1nnnn1Cc1cccc(C(=O)N2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c1[EOS][EOS][EOS][EOS],4246.089072227478,42
10.9,CC(OC(=O)c1ccc2c(c1)CC(c1ccccc1)OC2=O)C(=O)N1CCCCCC1,[BOS]C[C@@H](OC(=O)c1ccc2c(c1)C[C@@H](c1ccccc1)OC2=O)C(=O)N1CCCCCC1[EOS][EOS][EOS],4195.992187738419,42
11.4,CC1Cc2ccccc2N1CCNC(=O)c1c2c(nc3ccccc13)CCCCC2,[BOS]C[C@@H]1Cc2ccccc2N1CCNC(=O)c1c2c(nc3ccccc13)CCCCC2[EOS][EOS],4153.319401979446,42
11.2,O=C1CC(C(=O)N2CCC(C3CCCCN3C(=O)c3cc4cccnc4s3)CC2)CCN1,[BOS]O=C1C[C@@H](C(=O)N2CCC([C@@H]3CCCCN3C(=O)c3cc4cccnc4s3)CC2)CCN1[EOS][EOS],4274.749462366104,42
11.1,Cc1onc(-c2cccc(F)c2)c1C(=O)Nc1cccc(N2CCS(=O)(=O)CC2)c1,[BOS]Cc1onc(-c2cccc(F)c2)c1C(=O)Nc1cccc(N2CCS(=O)(=O)CC2)c1[EOS],4221.560572385788,42
11.5,O=C(NO)c1cccc(OC2c3ccccc3C=Cc3ccccc32)c1,[BOS]O=C(NO)c1cccc(OC2c3ccccc3C=Cc3ccccc32)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4202.036528348923,42
11.8,O=C(NCc1ccc(-c2ccco2)cc1F)C(=O)N1CCCC2(C1)OCc1ccccc12,[BOS]O=C(NCc1ccc(-c2ccco2)cc1F)C(=O)N1CCC[C@]2(C1)OCc1ccccc12[EOS][EOS],4155.45618224144,42
11.2,O=C1CCC(C(=O)NC2C3COCC2CN(C(=O)c2ccc(F)c(-c4c(F)cccc4F)n2)C3)N1,[BOS]O=C1CC[C@@H](C(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(=O)c2ccc(F)c(-c4c(F)cccc4F)n2)C3)N1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4221.985700368881,42
11.2,Cc1[nH]c2ncccc2c1-c1ccc(S(=O)(=O)NC(C)c2ccccc2)cc1,[BOS]Cc1[nH]c2ncccc2c1-c1ccc(S(=O)(=O)N[C@@H](C)c2ccccc2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4209.786642789841,42
11.3,CC1=C(c2ccc(S(=O)(=O)NC3OC(c4c(C)cc(C)cc4C)=NC3O)cc2)CCC=C1,[BOS]CC1=C(c2ccc(S(=O)(=O)NC3OC(c4c(C)cc(C)cc4C)=NC3O)cc2)CCC=C1[EOS][EOS][EOS][EOS],4180.01405954361,42
11.8,O=C(C1CCN(S(=O)(=O)c2cc(Cl)ccc2Cl)CC1)N1CC=C(c2ccccc2F)C1,[BOS]O=C(C1CCN(S(=O)(=O)c2cc(Cl)ccc2Cl)CC1)N1CC=C(c2ccccc2F)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4222.51217341423,42
11.5,Cc1oc2cc(O)ccc2c1C(=O)NC1CC2CCC(C1)N2C(=O)c1cn(C(C)(C)C)nn1,[BOS]Cc1oc2cc(O)ccc2c1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cn(C(C)(C)C)nn1[EOS][EOS][EOS][EOS],4195.052709341049,42
10.7,Cc1nc(=O)[nH]c(C)c1CCC(=O)NC(c1ccccc1)C1CCCc2ccccc21,[BOS]Cc1nc(=O)[nH]c(C)c1CCC(=O)N[C@H](c1ccccc1)[C@H]1CCCc2ccccc21[EOS][EOS][EOS][EOS][EOS][EOS],4246.694617271423,42
11.3,O=C(C1CC1c1ccc(F)cc1)N1CCC(C2CCCCN2C(=O)c2cc3cc[nH]c3cc2F)CC1,[BOS]O=C([C@@H]1C[C@@H]1c1ccc(F)cc1)N1CCC([C@@H]2CCCCN2C(=O)c2cc3cc[nH]c3cc2F)CC1[EOS][EOS][EOS][EOS][EOS],4183.607501268387,42
11.4,CC1Cc2cc(C(=O)N3CCCC(C(=O)Nc4ccc(Cl)cn4)C3)ccc2N1S(C)(=O)=O,[BOS]C[C@@H]1Cc2cc(C(=O)N3CCC[C@H](C(=O)Nc4ccc(Cl)cn4)C3)ccc2N1S(C)(=O)=O[EOS][EOS][EOS][EOS][EOS],4200.804417133331,42
11.3,CNc1nc2ccc(-c3nc(-c4ccc5c(c4)C(=O)CC5)no3)cc2[nH]1,[BOS]CNc1nc2ccc(-c3nc(-c4ccc5c(c4)C(=O)CC5)no3)cc2[nH]1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4173.9295172691345,42
11.2,Cc1nc(-c2ccc(NC(=O)N3CCCC(c4nnc5n4CCCCC5)C3)cc2)cc(=O)[nH]1,[BOS]Cc1nc(-c2ccc(NC(=O)N3CCC[C@@H](c4nnc5n4CCCCC5)C3)cc2)cc(=O)[nH]1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4208.292008161545,42
10.8,O=C1C(CCCC(O)c2ccccc2)C(=O)N(c2ccccc2)C(=O)N1c1ccccc1,[BOS]O=C1[C@@H](CCC[C@H](O)c2ccccc2)C(=O)N(c2ccccc2)C(=O)N1c1ccccc1[EOS][EOS],4206.670219898224,42
11.4,Cn1nc(C2CCCOC2)cc1NC(=O)C(=O)Nc1ccccc1-c1ccccc1,[BOS]Cn1nc([C@@H]2CCCOC2)cc1NC(=O)C(=O)Nc1ccccc1-c1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4224.704987049103,42
11.2,O=C(NCC12CCCOC1CCN(C(=O)c1cnc3[nH]ccc3c1)C2)c1ccc(C2CC2)cc1,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1cnc3[nH]ccc3c1)C2)c1ccc(C2CC2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4191.070606946945,42
11.0,O=C(CCc1nc(O)c2cc(-c3ccccc3)sc2n1)N1CCc2sccc2C1,[BOS]O=C(CCc1nc(O)c2cc(-c3ccccc3)sc2n1)N1CCc2sccc2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4166.757872104645,42
11.1,CN1CCc2ccc(NC(=O)N3CCCC3Cn3cnc4ccccc43)cc2C1=O,[BOS]CN1CCc2ccc(NC(=O)N3CCC[C@@H]3Cn3cnc4ccccc43)cc2C1=O[EOS],4221.0625586509705,42
11.4,Cc1cc(N2CCC(Nc3nc(-c4ccccc4)nc4ccccc34)CC2)n[nH]1,[BOS]Cc1cc(N2CCC(Nc3nc(-c4ccccc4)nc4ccccc34)CC2)n[nH]1[EOS],4183.975739240646,42
10.9,CC1CC(C)CN(S(=O)(=O)c2cccc(C(=O)Nc3cccc(C(=O)N4CCCC4)c3)c2)C1,[BOS]C[C@H]1C[C@H](C)CN(S(=O)(=O)c2cccc(C(=O)Nc3cccc(C(=O)N4CCCC4)c3)c2)C1[EOS][EOS],4117.097628116608,42
11.5,O=C1Nc2c(cccc2C(=O)N2CCCCC2c2cc(NC(=O)C34CCC(CC3)CC4)n[nH]2)C1=O,[BOS]O=C1Nc2c(cccc2C(=O)N2CCCC[C@@H]2c2cc(NC(=O)C34CCC(CC3)CC4)n[nH]2)C1=O[EOS][EOS],4149.801892518997,42
11.1,O=C(N1CC=C(c2c(O)ccc3ccccc23)CC1)C(F)(F)F,[BOS]O=C(N1CC=C(c2c(O)ccc3ccccc23)CC1)C(F)(F)F[EOS][EOS][EOS][EOS][EOS][EOS],4245.666978359222,42
11.6,CC1(CC2CCCN2C(=O)c2cc(-c3ccccn3)nc3ccccc23)NC(=O)NC1=O,[BOS]C[C@]1(C[C@@H]2CCCN2C(=O)c2cc(-c3ccccn3)nc3ccccc23)NC(=O)NC1=O[EOS],4220.070737361908,42
11.4,O=C(OC1CCOC(C2CCOC2)C1)c1cc(-c2ccccc2Cl)nc2ccccc12,[BOS]O=C(O[C@@H]1CCO[C@H]([C@@H]2CCOC2)C1)c1cc(-c2ccccc2Cl)nc2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS],4141.417312860489,42
10.8,Cc1nc2cc(C(=O)N3CCC4COC(CNC(=O)C5CC5c5ccc(F)cc5)C4C3)ccc2n1C,[BOS]Cc1nc2cc(C(=O)N3CC[C@H]4CO[C@@H](CNC(=O)[C@H]5C[C@H]5c5ccc(F)cc5)[C@H]4C3)ccc2n1C[EOS][EOS][EOS],4206.449268579483,42
