rv,smi,cur_sentence,elapsed_time,seed
9.5,CN1N=C(C(=O)N2CCC(OC3CCN(C(=O)c4cc(-c5ccccc5)on4)CC3)CC2)CCC1=O,[BOS]CN1N=C(C(=O)N2CCC(OC3CCN(C(=O)c4cc(-c5ccccc5)on4)CC3)CC2)CCC1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4057.3533861637115,42
9.4,Nc1ncc(-c2nnc(N3CC4C(C3)C4(F)F)n2Cc2ccccc2)o1,[BOS]Nc1ncc(-c2nnc(N3C[C@H]4[C@H](C3)C4(F)F)n2Cc2ccccc2)o1[EOS][EOS],4084.3066828250885,42
9.4,Cc1nnsc1C(=O)N1CCCCC1c1cc(NC(=O)C2CCc3ccccc3C2)n[nH]1,[BOS]Cc1nnsc1C(=O)N1CCCC[C@@H]1c1cc(NC(=O)[C@H]2CCc3ccccc3C2)n[nH]1[EOS][EOS][EOS][EOS][EOS],4016.3851935863495,42
9.3,Nc1nc2cc(C(=O)N3C4CCC3CC(NC(=O)c3ccccc3F)C4)ccc2s1,[BOS]Nc1nc2cc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3ccccc3F)C4)ccc2s1[EOS][EOS][EOS][EOS][EOS],4037.175241947174,42
9.3,CC1CC(NC(=O)N2CCN(c3nc(F)c(F)cc3F)CC2)CC(c2ccccc2)C1,[BOS]C[C@@H]1C[C@@H](NC(=O)N2CCN(c3nc(F)c(F)cc3F)CC2)C[C@H](c2ccccc2)C1[EOS][EOS][EOS],4144.243947982788,42
8.8,O=C(C(O)=Nc1cc(C2CCCC2)nn1-c1ccccc1)N1CC2CCCC2C1,[BOS]O=C(C(O)=Nc1cc(C2CCCC2)nn1-c1ccccc1)N1CC2CCCC2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4081.009379386902,42
9.2,O=C(NCC12CCCOC1CCN(C(=O)C1CCC(F)(F)C1)C2)c1c(F)ccc(O)c1F,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)[C@H]1CCC(F)(F)C1)C2)c1c(F)ccc(O)c1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4050.221161365509,42
10.3,O=C1CSc2ncc(C(=O)N3CCC(C4CCCCN4C(=O)c4nc5ccccc5o4)CC3)cc2N1,[BOS]O=C1CSc2ncc(C(=O)N3CCC([C@H]4CCCCN4C(=O)c4nc5ccccc5o4)CC3)cc2N1[EOS][EOS][EOS][EOS],4056.770708799362,42
9.5,O=C1C=CC(=O)N1c1ccc(C(=O)N2C3CCC2CC(NC(=O)C2(c4ccc(F)cc4)CC2)C3)cc1,[BOS]O=C1C=CC(=O)N1c1ccc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)C2(c4ccc(F)cc4)CC2)C3)cc1[EOS][EOS][EOS][EOS],4039.895767688751,42
9.0,Cc1cc(Cl)c(C)c(S(=O)(=O)Nc2c(C)c(C)nn2-c2ccc(C#N)cc2)c1Cl,[BOS]Cc1cc(Cl)c(C)c(S(=O)(=O)Nc2c(C)c(C)nn2-c2ccc(C#N)cc2)c1Cl[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4062.7598061561584,42
10.0,Nc1nc(C(=O)N2CCOC3(CCN(C(=O)c4cnc5[nH]ncc5c4)C3)C2)cs1,[BOS]Nc1nc(C(=O)N2CCO[C@@]3(CCN(C(=O)c4cnc5[nH]ncc5c4)C3)C2)cs1[EOS][EOS][EOS][EOS],4041.0183157920837,42
9.5,O=C(c1nn(-c2ccc(F)c(F)c2)c2c1CCC2)N1CCN(c2ccc(Cl)cn2)CC1,[BOS]O=C(c1nn(-c2ccc(F)c(F)c2)c2c1CCC2)N1CCN(c2ccc(Cl)cn2)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4054.3459010124207,42
9.5,O=C1COc2cc(S(=O)(=O)N3CC(c4ccccc4)C4COCCC43)c(Cl)cc2N1,[BOS]O=C1COc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)[C@@H]4COCC[C@@H]43)c(Cl)cc2N1[EOS][EOS],4059.8395750522614,42
9.6,O=C(Cc1ccc2ncccc2c1)N1CCCC2(CCN(C(=O)c3cccc4c3OCCO4)CC2)C1,[BOS]O=C(Cc1ccc2ncccc2c1)N1CCCC2(CCN(C(=O)c3cccc4c3OCCO4)CC2)C1[EOS][EOS][EOS][EOS][EOS],4106.4815084934235,42
9.0,O=C(c1n[nH]c2ccncc12)N1CCC(C2CCCCN2C(=O)CCc2ccc(F)c(F)c2)CC1,[BOS]O=C(c1n[nH]c2ccncc12)N1CCC([C@@H]2CCCCN2C(=O)CCc2ccc(F)c(F)c2)CC1[EOS][EOS][EOS][EOS][EOS][EOS],4096.802192211151,42
9.3,O=C1Cc2cccc(C(=O)N3CCCCC3C3CCN(C(=O)c4cc5ccsc5[nH]4)CC3)c2N1,[BOS]O=C1Cc2cccc(C(=O)N3CCCC[C@H]3C3CCN(C(=O)c4cc5ccsc5[nH]4)CC3)c2N1[EOS][EOS][EOS][EOS][EOS][EOS],4029.7810106277466,42
9.1,Cc1cscc1NC(=O)NC(C)c1cccc(N2CCOC2=O)c1,[BOS]Cc1cscc1NC(=O)N[C@H](C)c1cccc(N2CCOC2=O)c1[EOS],4024.6099305152893,42
9.9,O=C(NCC12CCCOC1CCN(C(=O)Cc1ccc(F)c(F)c1)C2)c1cc(Cl)c[nH]c1=O,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1ccc(F)c(F)c1)C2)c1cc(Cl)c[nH]c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4052.598867416382,42
9.9,O=c1ccc2c([nH]1)CCN(c1nc(-c3ccncc3)nc3ccccc13)CC2,[BOS]O=c1ccc2c([nH]1)CCN(c1nc(-c3ccncc3)nc3ccccc13)CC2[EOS],4109.809116840363,42
9.9,Cc1oc2cc(O)ccc2c1C(=O)N1CCOC2(CCN(C(=O)C3C4Sc5ccccc5C43)C2)C1,[BOS]Cc1oc2cc(O)ccc2c1C(=O)N1CCO[C@]2(CCN(C(=O)[C@@H]3[C@H]4Sc5ccccc5[C@@H]43)C2)C1[EOS][EOS],4131.336143493652,42
9.3,NC(=O)c1ccc(-c2noc(C3CC(=O)N(c4cccc5ccccc45)C3)n2)cn1,[BOS]NC(=O)c1ccc(-c2noc([C@H]3CC(=O)N(c4cccc5ccccc45)C3)n2)cn1[EOS][EOS],4088.412879705429,42
9.6,Cc1c[nH]c(=O)c(CNC(=O)c2cc(-c3cccnc3)nc3ccc(C)cc23)c1,[BOS]Cc1c[nH]c(=O)c(CNC(=O)c2cc(-c3cccnc3)nc3ccc(C)cc23)c1[EOS][EOS][EOS][EOS][EOS],4137.61138343811,42
9.7,CC(C)(NC(=O)Nc1ccccc1)C(=O)Nc1ccc(C(=O)N2CCc3ccccc32)cc1,[BOS]CC(C)(NC(=O)Nc1ccccc1)C(=O)Nc1ccc(C(=O)N2CCc3ccccc32)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],3961.836256504059,42
9.3,Nc1nc(=O)c(F)cn1C(=O)c1cnn(-c2ccccn2)c1N,[BOS]Nc1c(C(=O)n2cc(F)c(=O)nc2N)cnn1-c1ccccn1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4096.190089225769,42
9.7,O=C(CSc1ccc2ccccc2n1)N1CCC(F)(F)C2(CCN(c3ncccn3)C2)C1,[BOS]O=C(CSc1ccc2ccccc2n1)N1CCC(F)(F)[C@@]2(CCN(c3ncccn3)C2)C1[EOS][EOS],4073.8955221176147,42
9.3,O=C(C1Cc2ccccc2O1)N1CCOC2(CCN(C(=O)C3CC3c3ccccc3)C2)C1,[BOS]O=C([C@H]1Cc2ccccc2O1)N1CCO[C@@]2(CCN(C(=O)[C@@H]3C[C@H]3c3ccccc3)C2)C1[EOS],4032.0659322738647,42
10.2,OC1(CNc2nc(-c3ccncc3)nc3ccccc23)CCCc2ccccc21,[BOS]O[C@]1(CNc2nc(-c3ccncc3)nc3ccccc23)CCCc2ccccc21[EOS][EOS][EOS],4036.8481006622314,42
9.1,CC1=C(C(=O)N2CCCCC2c2cc(NC(=O)c3c(-c4ccccc4)noc3C)n[nH]2)CCO1,[BOS]CC1=C(C(=O)N2CCCC[C@H]2c2cc(NC(=O)c3c(-c4ccccc4)noc3C)n[nH]2)CCO1[EOS][EOS][EOS][EOS][EOS],4056.53640294075,42
9.7,Nc1nc(N)nc(NCC(O)c2cccc(C(F)(F)F)c2)n1,[BOS]Nc1nc(N)nc(NC[C@H](O)c2cccc(C(F)(F)F)c2)n1[EOS],4030.1597027778625,42
9.2,O=C1c2ccccc2C(=O)N1Nc1nc(N2CCOCC2)cc2ccccc12,[BOS]O=C1c2ccccc2C(=O)N1Nc1nc(N2CCOCC2)cc2ccccc12[EOS][EOS][EOS],4066.444764137268,42
9.6,O=C(NC1CCOC(c2cccnc2)C1)NC(c1cccc(Cl)c1)c1ccccn1,[BOS]O=C(N[C@H](c1cccc(Cl)c1)c1ccccn1)N[C@H]1CCO[C@H](c2cccnc2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4055.37743973732,42
9.2,Cn1c(=O)c2cc(NC(=O)NCC(=O)N3CCc4ccccc43)cnc2n(C)c1=O,[BOS]Cn1c(=O)c2cc(NC(=O)NCC(=O)N3CCc4ccccc43)cnc2n(C)c1=O[EOS][EOS][EOS],4046.0535938739777,42
9.6,CC1(C(=O)Nc2cccc(-c3ccc4c(c3)CCO4)c2)CCCN(C(=O)c2ccccc2)C1,[BOS]C[C@@]1(C(=O)Nc2cccc(-c3ccc4c(c3)CCO4)c2)CCCN(C(=O)c2ccccc2)C1[EOS][EOS][EOS][EOS][EOS],4004.5325651168823,42
9.5,CN(C)c1ccc(C(=O)N2CC3COCC(C2)C3NC(=O)c2ccc(C(N)=O)cc2)c2ccccc12,[BOS]CN(C)c1ccc(C(=O)N2C[C@H]3COC[C@@H](C2)[C@H]3NC(=O)c2ccc(C(N)=O)cc2)c2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4056.0690784454346,42
10.0,O=C(CC1OCCc2ccccc21)N1CCOC2(CCN(C(=O)c3cnc4[nH]ncc4c3)C2)C1,[BOS]O=C(C[C@@H]1OCCc2ccccc21)N1CCO[C@]2(CCN(C(=O)c3cnc4[nH]ncc4c3)C2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4015.339454650879,42
9.2,CC1c2ccc(F)cc2CCN1C(=O)C1CC(=O)N(c2cn[nH]c2)C1,[BOS]C[C@@H]1c2ccc(F)cc2CCN1C(=O)[C@@H]1CC(=O)N(c2cn[nH]c2)C1[EOS][EOS][EOS][EOS],4054.658438682556,42
9.4,Cc1cc[nH]c1C(=O)N1CC2COCC(C1)C2NC(=O)c1cc2n(n1)Cc1ccccc1NC2=O,[BOS]Cc1cc[nH]c1C(=O)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)c1cc2n(n1)Cc1ccccc1NC2=O[EOS][EOS][EOS][EOS][EOS],4096.690606594086,42
9.6,O=C(Cc1c(F)cccc1Cl)N1CCOC2(CCN(C(=O)c3cccn4c(=O)[nH]nc34)C2)C1,[BOS]O=C(Cc1c(F)cccc1Cl)N1CCO[C@]2(CCN(C(=O)c3cccn4c(=O)[nH]nc34)C2)C1[EOS][EOS][EOS][EOS][EOS],4180.202463388443,42
9.5,NC(=O)c1oc2ccccc2c1NC(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,[BOS]NC(=O)c1oc2ccccc2c1NC(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1[EOS][EOS],4062.711738348007,42
9.5,CN1Cc2c(NC(=O)NC(Cc3cc(F)cc(F)c3)c3ccccc3F)cccc2C1=O,[BOS]CN1Cc2c(NC(=O)N[C@H](Cc3cc(F)cc(F)c3)c3ccccc3F)cccc2C1=O[EOS][EOS][EOS],4082.9945266246796,42
9.4,C=C(C)C(NC(=O)Nc1cccnc1-c1cnn(C)c1)c1ccc(F)c(F)c1,[BOS]C=C(C)[C@H](NC(=O)Nc1cccnc1-c1cnn(C)c1)c1ccc(F)c(F)c1[EOS][EOS][EOS][EOS][EOS][EOS],4060.703159093857,42
9.4,CC(NC(=O)N1C(C)C(=O)NC(C)C1C)c1ccc2[nH]c(=O)oc2c1,[BOS]C[C@@H]1NC(=O)[C@H](C)N(C(=O)N[C@H](C)c2ccc3[nH]c(=O)oc3c2)[C@H]1C[EOS],4013.239058494568,42
9.4,O=C(NC1CCCCCC1)NC(CN1CCCC1=O)c1cccc(C(F)(F)F)c1,[BOS]O=C(NC1CCCCCC1)N[C@@H](CN1CCCC1=O)c1cccc(C(F)(F)F)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4059.7512311935425,42
9.8,O=C(NCC12CCCOC1CCN(C(=O)Cc1ccccc1)C2)c1cccnc1-c1ccc(F)c(F)c1,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1ccccc1)C2)c1cccnc1-c1ccc(F)c(F)c1[EOS][EOS][EOS],4045.8226516246796,42
9.1,C=C1CC2(C)C(CCC(=O)C2OC(c2ccccc2)c2ccccc2)C1=O,[BOS]C=C1C[C@@]2(C)[C@@H](CCC(=O)C2OC(c2ccccc2)c2ccccc2)C1=O[EOS],4045.938296556473,42
9.7,Cn1[nH]c(C(=O)NC2CC3CCC(C2)N3C(=O)c2[nH]nc3c2CCc2ncccc2-3)cc1=O,[BOS]Cn1[nH]c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2[nH]nc3c2CCc2ncccc2-3)cc1=O[EOS][EOS][EOS][EOS][EOS][EOS],4064.742250919342,42
9.2,Cc1[nH]c2ncccc2c1CC(=O)N1CC2COCC(C(=O)Nc3cnccn3)C2C1,[BOS]Cc1[nH]c2ncccc2c1CC(=O)N1C[C@@H]2COC[C@H](C(=O)Nc3cnccn3)[C@@H]2C1[EOS][EOS][EOS][EOS][EOS][EOS],4016.7658421993256,42
9.7,Cc1oc2cc(O)ccc2c1C(=O)NCC12CCCOC1CCN(C(=O)C1(C)CC1C)C2,[BOS]Cc1oc2cc(O)ccc2c1C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)[C@@]1(C)C[C@@H]1C)C2[EOS],4122.836471796036,42
9.3,CC(=O)N1CCCc2cc(NS(=O)(=O)c3cc(NC(=O)N4CCOCC4)ccc3C)ccc21,[BOS]CC(=O)N1CCCc2cc(NS(=O)(=O)c3cc(NC(=O)N4CCOCC4)ccc3C)ccc21[EOS][EOS][EOS][EOS][EOS][EOS],4070.075142145157,42
9.2,CCc1cc(C(=O)N2CCCCC2c2cc(NC(=O)c3cnccc3F)n[nH]2)cc(C)n1,[BOS]CCc1cc(C(=O)N2CCCC[C@@H]2c2cc(NC(=O)c3cnccc3F)n[nH]2)cc(C)n1[EOS][EOS][EOS],4066.7772114276886,42
9.3,Nc1noc2cc(CNC(=O)c3[nH+]cc4c(F)cccn34)ccc12,[BOS]Nc1noc2cc(CNC(=O)c3[nH+]cc4c(F)cccn34)ccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4054.4583942890167,42
9.0,O=C(CC(O)c1cccc(F)c1)Nc1n[nH]c2ccc(F)cc12,[BOS]O=C(C[C@@H](O)c1cccc(F)c1)Nc1n[nH]c2ccc(F)cc12[EOS],4059.6448702812195,42
9.7,O=C(c1nn(-c2ccc(F)cc2F)c2c1CCC2)N1CCCC1c1ccc(O)cc1,[BOS]O=C(c1nn(-c2ccc(F)cc2F)c2c1CCC2)N1CCC[C@@H]1c1ccc(O)cc1[EOS][EOS][EOS][EOS][EOS],4123.021683692932,42
9.1,CC1Cc2cc(NC(=O)NC(C)c3ccc4c(c3)CCC(=O)N4)ccc2O1,[BOS]C[C@@H](NC(=O)Nc1ccc2c(c1)C[C@H](C)O2)c1ccc2c(c1)CCC(=O)N2[EOS][EOS][EOS][EOS][EOS][EOS],4097.028620958328,42
9.7,CC1(c2ccccc2)CCCN(C(=O)CC(NC(=O)c2ccc(O)cc2)c2ccccc2)C1,[BOS]C[C@@]1(c2ccccc2)CCCN(C(=O)C[C@H](NC(=O)c2ccc(O)cc2)c2ccccc2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4054.5792598724365,42
9.3,Nc1nnnn1-c1cccc(C(=O)NC2CCN(c3ccc(C(F)(F)F)cc3)C2=O)c1,[BOS]Nc1nnnn1-c1cccc(C(=O)N[C@H]2CCN(c3ccc(C(F)(F)F)cc3)C2=O)c1[EOS],4079.903508424759,42
9.5,O=C(NCC12CCCOC1CCN(C(=O)CCc1ccccc1F)C2)c1c[nH]c2cccc(Cl)c12,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)CCc1ccccc1F)C2)c1c[nH]c2cccc(Cl)c12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4129.235226392746,42
9.3,c1ccc2c(NC3CCOC34CCOCC4)nc(-c3nn[n-]n3)cc2c1,[BOS]c1ccc2c(N[C@@H]3CCOC34CCOCC4)nc(-c3nn[n-]n3)cc2c1[EOS][EOS][EOS][EOS][EOS][EOS],4127.852927684784,42
9.2,Cc1cc(Cl)c2ccc(C(=O)N3C4CCC3CC(NC(=O)CCc3nc(N)n[nH]3)C4)cc2n1,[BOS]Cc1cc(Cl)c2ccc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)CCc3nc(N)n[nH]3)C4)cc2n1[EOS][EOS][EOS][EOS][EOS][EOS],4013.2421033382416,42
9.6,O=C1NCc2cc(C(=O)N3CCC(C4CCCCN4C(=O)Cc4cc(F)ccc4F)CC3)ccc2N1,[BOS]O=C1NCc2cc(C(=O)N3CCC([C@@H]4CCCCN4C(=O)Cc4cc(F)ccc4F)CC3)ccc2N1[EOS][EOS][EOS][EOS],4064.487231731415,42
8.9,O=C1NCC2C1CCCN2C(=O)c1cc(N2CCNC2=O)ccc1F,[BOS]O=C1NC[C@@H]2[C@H]1CCCN2C(=O)c1cc(N2CCNC2=O)ccc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4044.7596774101257,42
9.3,O=C(NCC12CCCOC1CCN(C(=O)Cc1cnccn1)C2)c1cccc(N2CCOCC2)n1,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1cnccn1)C2)c1cccc(N2CCOCC2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4014.6684217453003,42
9.5,O=C(NCC12CCCOC1CCN(C(=O)Cc1ccc(F)c(F)c1)C2)c1cnc(-c2ccccc2)s1,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1ccc(F)c(F)c1)C2)c1cnc(-c2ccccc2)s1[EOS][EOS],4120.762843847275,42
9.5,CC(CC(O)c1ccc(F)cc1)NC(=O)NC1CCc2cc(F)c(F)c(F)c21,[BOS]C[C@H](C[C@H](O)c1ccc(F)cc1)NC(=O)N[C@H]1CCc2cc(F)c(F)c(F)c21[EOS][EOS][EOS][EOS][EOS][EOS],4091.504909515381,42
9.0,CC1(C)CCCc2sc(NC(=O)c3cnccc3Nc3ccccc3)nc21,[BOS]CC1(C)CCCc2sc(NC(=O)c3cnccc3Nc3ccccc3)nc21[EOS][EOS][EOS][EOS][EOS],4073.9177963733673,42
9.5,O=C(CC1CC2(CC[NH+](Cc3cc(F)c([O-])c(F)c3)CC2)Oc2ccccc21)NCc1ccc(F)cc1,[BOS]O=C(C[C@@H]1CC2(CC[NH+](Cc3cc(F)c([O-])c(F)c3)CC2)Oc2ccccc21)NCc1ccc(F)cc1[EOS],4028.810826063156,42
9.2,Cc1c(CN=C(O)N2CCCC2c2ccncc2)oc2ccc(F)cc12,[BOS]Cc1c(CN=C(O)N2CCCC2c2ccncc2)oc2ccc(F)cc12[EOS][EOS][EOS][EOS][EOS][EOS],4062.877334356308,42
9.5,O=C1NC(CC(=O)N2CCc3ccccc3C2Cc2ccccc2)C(=O)Nc2ccccc21,[BOS]O=C1N[C@@H](CC(=O)N2CCc3ccccc3[C@H]2Cc2ccccc2)C(=O)Nc2ccccc21[EOS][EOS][EOS],4082.7518265247345,42
