rv,smi,cur_sentence,elapsed_time,seed
11.0,COC1C=Cc2nc(-c3cccc4c3CCN4S(=O)(=O)c3ccccc3)ccc2C1,[BOS]CO[C@H]1C=Cc2nc(-c3cccc4c3CCN4S(=O)(=O)c3ccccc3)ccc2C1[EOS][EOS][EOS][EOS][EOS],4151.935376882553,42
11.1,Cc1[nH]ccc1C(=O)NCC12CCCOC1CCN(C(=O)c1cccnc1-c1ccc(F)c(F)c1)C2,[BOS]Cc1[nH]ccc1C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1cccnc1-c1ccc(F)c(F)c1)C2[EOS][EOS][EOS][EOS],4155.167227983475,42
10.7,CC(NC(=O)NC1CCc2[nH]ncc2C1)c1cccc2ccccc12,[BOS]C[C@@H](NC(=O)N[C@H]1CCc2[nH]ncc2C1)c1cccc2ccccc12[EOS],4068.2611277103424,42
10.5,Cc1ccccc1-c1cc(NC(=O)C(=O)N2CCN3C(=O)NC(=O)C3C2)n(C)n1,[BOS]Cc1ccccc1-c1cc(NC(=O)C(=O)N2CCN3C(=O)NC(=O)[C@H]3C2)n(C)n1[EOS],4131.5755615234375,42
10.4,O=C1CC(C(=O)NCC2OCC3CCN(C(=O)c4ccc(F)c(F)c4)CC32)=Cc2ccccc2N1,[BOS]O=C1CC(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)c4ccc(F)c(F)c4)C[C@@H]32)=Cc2ccccc2N1[EOS][EOS],4112.247630119324,42
10.8,O=C1Cc2ccc(NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cc2N1,[BOS]O=C1Cc2ccc(NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cc2N1[EOS][EOS][EOS],4164.0366015434265,42
10.3,O=C1N=C(O)C=C1c1c[nH]c2ccc(-c3ccccc3-n3cccc3)cc12,[BOS]O=C1N=C(O)C=C1c1c[nH]c2ccc(-c3ccccc3-n3cccc3)cc12[EOS],4168.251547336578,42
10.5,Cn1c(=O)[nH]c(=O)c2cc(-c3nc(C4(c5ccc(F)cc5)CC4)no3)cnc21,[BOS]Cn1c(=O)[nH]c(=O)c2cc(-c3nc(C4(c5ccc(F)cc5)CC4)no3)cnc21[EOS][EOS],4175.551252365112,42
10.4,O=C1Nc2ccccc2C1CC(=O)N1CCN(c2c(Cl)cccc2Cl)CC1,[BOS]O=C1Nc2ccccc2[C@H]1CC(=O)N1CCN(c2c(Cl)cccc2Cl)CC1[EOS][EOS][EOS][EOS],4166.04471206665,42
10.7,CN1CCC2(CCN(C(=O)NC3c4ccccc4-c4ccccc43)C2)C1=O,[BOS]CN1CC[C@]2(CCN(C(=O)NC3c4ccccc4-c4ccccc43)C2)C1=O[EOS],4119.234647989273,42
10.6,O=C(COC(=O)C12CCC(=O)N1c1ccccc1S2)Nc1cc(-n2nnnc2C2CC2)ccc1F,[BOS]O=C1CC[C@]2(C(=O)OCC(=O)Nc3cc(-n4nnnc4C4CC4)ccc3F)Sc3ccccc3N12[EOS][EOS][EOS][EOS],4158.250625133514,42
11.1,O=C1CC2(CCN(C(=O)Cn3c(-c4ccccc4)nc4ccccc43)C2)C(=O)N1,[BOS]O=C1C[C@@]2(CCN(C(=O)Cn3c(-c4ccccc4)nc4ccccc43)C2)C(=O)N1[EOS][EOS],4083.0938744544983,42
