rv,smi,cur_sentence,elapsed_time,seed
11.6,O=C1CCC(C(=O)N2CCC(C3CCCCN3C(=O)C3CCc4ccccc43)CC2)CN1,[BOS]O=C1CC[C@@H](C(=O)N2CCC([C@H]3CCCCN3C(=O)[C@@H]3CCc4ccccc43)CC2)CN1[EOS][EOS],4490.829439878464,42
11.8,CC1(C)N(C(=O)Cc2noc3cc(O)ccc23)CCC12C(=O)Oc1ccccc12,[BOS]CC1(C)N(C(=O)Cc2noc3cc(O)ccc23)CC[C@]12C(=O)Oc1ccccc12[EOS][EOS][EOS][EOS],4504.995101213455,42
11.5,Cc1oncc1C(=O)NCC1OCC2CCN(C(=O)c3ccc4c(c3)NC(=O)C(C)O4)CC21,[BOS]Cc1oncc1C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3ccc4c(c3)NC(=O)[C@@H](C)O4)C[C@@H]21[EOS][EOS][EOS][EOS][EOS],4033.0931730270386,42
11.8,O=C1CC(C(=O)N2C3CCC2CC(NC(=O)c2cc4c(s2)CCC4)C3)=Cc2ccccc2N1,[BOS]O=C1CC(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc4c(s2)CCC4)C3)=Cc2ccccc2N1[EOS][EOS][EOS][EOS],4094.0554251670837,42
11.8,CC12CCC(=O)N1c1ccccc1C(=O)N2Cc1nc(C2CCCc3ccccc32)no1,[BOS]C[C@]12CCC(=O)N1c1ccccc1C(=O)N2Cc1nc([C@H]2CCCc3ccccc32)no1[EOS][EOS][EOS],4255.313087940216,42
12.6,O=C(NCC12CCCOC1CCN(C(=O)Cc1ccc3ccccc3c1)C2)C1Cc2ccccc2O1,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1ccc3ccccc3c1)C2)[C@@H]1Cc2ccccc2O1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4281.961910247803,42
12.3,O=C(CC1CC2(CCN(C(=O)c3ccc4ncncc4c3)CC2)Oc2ccccc21)NC1CCCC1,[BOS]O=C(C[C@H]1CC2(CCN(C(=O)c3ccc4ncncc4c3)CC2)Oc2ccccc21)NC1CCCC1[EOS][EOS][EOS][EOS][EOS],4300.420352935791,42
12.3,O=C1CC(C(=O)N2CCC3OCCCC3(CNC(=O)c3ccc4c(Cl)ccnc4c3)C2)CN1,[BOS]O=C1C[C@@H](C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3ccc4c(Cl)ccnc4c3)C2)CN1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4319.372342824936,42
12.0,O=C1CC(C(=O)NCC23CCCOC2CCN(C(=O)C(F)c2ccccc2)C3)=Cc2ccccc2N1,[BOS]O=C1CC(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)[C@@H](F)c2ccccc2)C3)=Cc2ccccc2N1[EOS][EOS][EOS],4365.3834319114685,42
11.6,c1cc2nc(C3CCOCC3)[nH]c(-c3cnc(N4c5n[nH]cc5CC45CC5)nc3)c-2n1,[BOS]c1cc2nc(C3CCOCC3)[nH]c(-c3cnc(N4c5n[nH]cc5CC45CC5)nc3)c-2n1[EOS][EOS],4263.670147657394,42
11.9,Cc1oc2cc(O)ccc2c1C(=O)NC1CC2CCC(C1)N2C(=O)C1CCN(c2ccccc2)CC1,[BOS]Cc1oc2cc(O)ccc2c1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1CCN(c2ccccc2)CC1[EOS][EOS][EOS],4311.189749956131,42
11.7,O=C(N1CCc2ccc(S(=O)(=O)Nc3cccc4cc(O)ccc34)cc2C1)C(F)(F)F,[BOS]O=C(N1CCc2ccc(S(=O)(=O)Nc3cccc4cc(O)ccc34)cc2C1)C(F)(F)F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4241.396112918854,42
