rv,smi,cur_sentence,elapsed_time,seed
11.0,CC(NC(=O)CNC(=O)c1ccc2c(c1)CCC2)(C(N)=O)c1cccc(C(F)(F)F)c1,[BOS]C[C@@](NC(=O)CNC(=O)c1ccc2c(c1)CCC2)(C(N)=O)c1cccc(C(F)(F)F)c1[EOS][EOS][EOS][EOS][EOS],4673.650893688202,42
12.1,Cc1cc(C)c(-c2cc(NC(=O)C3CC(=O)N(c4ccc5c(c4)CCC5)C3)n[nH]2)cc1C,[BOS]Cc1cc(C)c(-c2cc(NC(=O)[C@H]3CC(=O)N(c4ccc5c(c4)CCC5)C3)n[nH]2)cc1C[EOS],9055.996359825134,42
11.6,Cc1ccc(C2CC2NC(=O)c2cccc(S(=O)(=O)N3CCCc4ccccc43)c2)cc1,[BOS]Cc1ccc([C@@H]2C[C@H]2NC(=O)c2cccc(S(=O)(=O)N3CCCc4ccccc43)c2)cc1[EOS],4672.910727262497,42
11.4,O=C(Nc1cc(CCc2ccccc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,[BOS]O=C(Nc1cc(CCc2ccccc2)ccn1)[C@@H]1CCCN1S(=O)(=O)c1ccccc1[EOS][EOS][EOS][EOS][EOS],8911.166276454926,42
12.6,O=C(c1cccc(C(=O)N2CCOCC2C2N=C(c3ccccc3F)NN2)c1)C1CCCCC1,[BOS]O=C(c1cccc(C(=O)N2CCOC[C@@H]2C2N=C(c3ccccc3F)NN2)c1)C1CCCCC1[EOS],5094.880275964737,42
11.7,O=C(NC1CCCC1c1cccc(C(F)(F)F)c1)c1ccc(N2CCCS2(=O)=O)cc1,[BOS]O=C(N[C@@H]1CCC[C@@H]1c1cccc(C(F)(F)F)c1)c1ccc(N2CCCS2(=O)=O)cc1[EOS],9565.198789596558,42
11.9,Cc1c(NC(=O)C2=C(c3ccccc3)CCCC2)cccc1-c1nnc2n1CCCCC2,[BOS]Cc1c(NC(=O)C2=C(c3ccccc3)CCCC2)cccc1-c1nnc2n1CCCCC2[EOS],4263.665594577789,42
12.0,CC1Cc2cn[nH]c2C(C(=O)N2CC=C(c3cccc4ccccc34)CC2)C1,[BOS]C[C@H]1Cc2cn[nH]c2[C@@H](C(=O)N2CC=C(c3cccc4ccccc34)CC2)C1[EOS],8026.609112262726,42
11.2,CC(c1ccc(C(=O)Nc2ccccc2CS(=O)(=O)c2ccccc2)cc1)C(F)(F)F,[BOS]C[C@@H](c1ccc(C(=O)Nc2ccccc2CS(=O)(=O)c2ccccc2)cc1)C(F)(F)F[EOS],4107.61386346817,42
11.7,c1cc(N2CCC3(CC2)COCCO3)c2cc(-c3cnn4cnccc34)ccc2c1,[BOS]c1cc2ccc(-c3cnn4cnccc34)cc2c(N2CCC3(CC2)OCCOC3)c1[EOS],7420.6618802547455,42
12.7,O=C(NC1CCCCCC1c1ccc(Cl)cc1)N1CCC(c2nnc3n2CCCC3)CC1,[BOS]O=C(N[C@@H]1CCCCC[C@H]1c1ccc(Cl)cc1)N1CCC(c2nnc3n2CCCC3)CC1[EOS],4574.672358512878,42
11.1,CC(C)c1ccc(N2CC(c3noc(-c4cc(-c5ccco5)[nH]n4)n3)CC2=O)cc1,[BOS]CC(C)c1ccc(N2C[C@@H](c3noc(-c4cc(-c5ccco5)[nH]n4)n3)CC2=O)cc1[EOS][EOS],8507.060445308685,42
