rv,smi,cur_sentence,elapsed_time,seed
9.8,O=C(NC1CCc2cn[nH]c2C1)c1ccccc1C(=O)c1ccc(F)c(F)c1,[BOS]O=C(N[C@H]1CCc2cn[nH]c2C1)c1ccccc1C(=O)c1ccc(F)c(F)c1[EOS],4183.640640735626,42
11.1,Cc1cc(F)c(F)c(C(=O)NCC23CCCOC2CCN(C(=O)c2ccc4c(n2)NC(=O)CC4)C3)c1,[BOS]Cc1cc(F)c(F)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2ccc4c(n2)NC(=O)CC4)C3)c1[EOS],9247.355309963226,42
10.7,Fc1ccc2nc(-c3ccncc3)nc(N3CC(c4ccccc4F)C4COCC3N4)c2c1,[BOS]Fc1ccccc1[C@@H]1CN(c2nc(-c3ccncc3)nc3ccc(F)cc23)[C@H]2COC[C@@H]1N2[EOS],3689.326415538788,42
10.4,NC(=O)c1ccc(C(=O)N2CCC(C3CCCCN3C(=O)Cc3cccc4ncccc34)CC2)cc1,[BOS]NC(=O)c1ccc(C(=O)N2CCC([C@@H]3CCCCN3C(=O)Cc3cccc4ncccc34)CC2)cc1[EOS],8246.427137851715,42
10.1,O=C1CN(c2ccc(-c3noc(C4CCCN(C(=O)Nc5ccccc5F)C4)n3)cc2)CCN1,[BOS]O=C1CN(c2ccc(-c3noc([C@@H]4CCCN(C(=O)Nc5ccccc5F)C4)n3)cc2)CCN1[EOS],4397.376870393753,42
9.9,Cc1ccc2c(C(=O)NC3COC(C)(C)OC3)cc(-c3ccccc3)nc2c1C,[BOS]Cc1ccc2c(C(=O)NC3COC(C)(C)OC3)cc(-c3ccccc3)nc2c1C[EOS][EOS][EOS][EOS][EOS][EOS],8226.694130420685,42
9.7,Cc1cc(F)c(C(=O)NCC2OCC3CCN(C(=O)c4ccc5c(c4)nc(C)n5C)CC32)cc1F,[BOS]Cc1nc2cc(C(=O)N3CC[C@H]4CO[C@@H](CNC(=O)c5cc(F)c(C)cc5F)[C@H]4C3)ccc2n1C[EOS],4677.118013858795,42
9.7,O=C(NCc1cnc2ccccc2c1)Nc1cc(-n2cccn2)cc(C(F)(F)F)c1,[BOS]O=C(NCc1cnc2ccccc2c1)Nc1cc(C(F)(F)F)cc(-n2cccn2)c1[EOS],8635.807214260101,42
10.1,CC(C)(Oc1ccc2ccccc2c1)C(=O)N1C2CCC1CC(NC(=O)c1n[nH]c3c1CCCC3)C2,[BOS]CC(C)(Oc1ccc2ccccc2c1)C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1n[nH]c3c1CCCC3)C2[EOS],5387.471982002258,42
10.8,O=C1NCc2cc(C(=O)N3CCC4(CN(C(=O)CC5CNc6ccccc6O5)CCO4)C3)ccc21,[BOS]O=C1NCc2cc(C(=O)N3CC[C@@]4(CN(C(=O)C[C@@H]5CNc6ccccc6O5)CCO4)C3)ccc21[EOS],9593.9204454422,42
10.0,O=C(Nc1ccc(F)cc1)C1CCc2ccccc2N1C(=O)C1CCCN(C(=O)N2CCCC2)C1,[BOS]O=C(Nc1ccc(F)cc1)[C@H]1CCc2ccccc2N1C(=O)[C@H]1CCCN(C(=O)N2CCCC2)C1[EOS][EOS][EOS][EOS][EOS],4176.655856132507,42
