rv,smi,cur_sentence,elapsed_time,seed
12.1,O=C(NCC1OCCc2ccccc21)NCC1CC2c3ccccc3C1c1ccccc12,[BOS]O=C(NC[C@H]1OCCc2ccccc21)NC[C@H]1CC2c3ccccc3C1c1ccccc12[EOS],4674.192698478699,42
11.3,O=C(NC1CC2CCC(C1)N2C(=O)c1cc(O)ccc1F)c1ccc2[nH]ncc2c1,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc(O)ccc1F)c1ccc2[nH]ncc2c1[EOS][EOS][EOS][EOS][EOS],9059.34347486496,42
13.3,Cc1ccc(C(=O)N2CCCCC2C2CCN(C(=O)c3ccc4n[nH]c(C(F)(F)F)c4c3)CC2)c(O)c1,[BOS]Cc1ccc(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3ccc4n[nH]c(C(F)(F)F)c4c3)CC2)c(O)c1[EOS],5031.068078994751,42
12.0,O=C(NC1CCc2nnnn2CC1)NC(c1cccc(C(F)(F)F)c1)C1CCCCC1,[BOS]O=C(N[C@H]1CCc2nnnn2CC1)N[C@@H](c1cccc(C(F)(F)F)c1)C1CCCCC1[EOS],9408.165722370148,42
11.4,CNC(=O)c1cccc(NC(=O)N2CCc3ccc(F)cc3C(C)C2)c1C,[BOS]CNC(=O)c1cccc(NC(=O)N2CCc3ccc(F)cc3[C@H](C)C2)c1C[EOS],3913.1058371067047,42
11.4,CC1C(c2ccccc2)CCN1c1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,[BOS]C[C@H]1[C@H](c2ccccc2)CCN1c1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl[EOS],7673.33673620224,42
12.7,Cc1cccc(C(=O)NCC2OCC3CCN(C(=O)c4cccnc4-c4ccc(F)cc4)CC32)c1F,[BOS]Cc1cccc(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)c4cccnc4-c4ccc(F)cc4)C[C@@H]32)c1F[EOS],5691.389994382858,42
12.2,COCc1oncc1C(=O)N1CCC2COC(CNC(=O)c3cnnc4ccccc34)C2C1,[BOS]COCc1oncc1C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)c3cnnc4ccccc34)[C@H]2C1[EOS],10634.09179854393,42
12.3,Cc1cc(C)c2c(c1)N(C(=O)C1CCCN(C(=O)c3ccc4[nH]ncc4c3)C1)CCC2,[BOS]Cc1cc(C)c2c(c1)N(C(=O)[C@@H]1CCCN(C(=O)c3ccc4[nH]ncc4c3)C1)CCC2[EOS],3763.3847522735596,42
13.4,O=C(NCC12CCCOC1CCN(C(=O)c1n[nH]c3ccccc13)C2)c1cccc2c1CCCC2,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1n[nH]c3ccccc13)C2)c1cccc2c1CCCC2[EOS],9473.290921211243,42
12.4,CC1CC(=O)Nc2ccc(C(=O)N3CCC(c4c[nH]c5cc(F)ccc45)CC3)cc2N1,[BOS]C[C@H]1CC(=O)Nc2ccc(C(=O)N3CCC(c4c[nH]c5cc(F)ccc45)CC3)cc2N1[EOS],3950.0432596206665,42
12.8,Cc1cc(F)c(C(=O)NCC23CCCOC2CCN(C(=O)c2ccc4c(c2)CCCC4=O)C3)cc1F,[BOS]Cc1cc(F)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2ccc4c(c2)CCCC4=O)C3)cc1F[EOS],9618.633544921875,42
12.7,Cc1ccc(C)c(C(=O)c2ccccc2C(=O)Nc2ccc3c(c2)N(C(N)=O)CC3)c1,[BOS]Cc1ccc(C)c(C(=O)c2ccccc2C(=O)Nc2ccc3c(c2)N(C(N)=O)CC3)c1[EOS],4711.994012355804,42
11.5,CC(=O)Nc1cccc(CC(=O)N2C(c3nc4ccccc4[nH]3)CC3CCCCC32)n1,[BOS]CC(=O)Nc1cccc(CC(=O)N2[C@@H](c3nc4ccccc4[nH]3)C[C@@H]3CCCC[C@@H]32)n1[EOS],9158.708525657654,42
12.4,O=C(c1cnc2snnc2c1)N1CCCCC1c1cc(NC(=O)C2(F)CCCC=C2F)n[nH]1,[BOS]O=C(c1cnc2snnc2c1)N1CCCC[C@@H]1c1cc(NC(=O)[C@]2(F)CCCC=C2F)n[nH]1[EOS],4760.932394504547,42
13.1,O=C(c1noc2c1CCCC2)N1CCOC2(CCN(C(=O)c3[nH]nc4c(Cl)cccc34)C2)C1,[BOS]O=C(c1noc2c1CCCC2)N1CCO[C@@]2(CCN(C(=O)c3[nH]nc4c(Cl)cccc34)C2)C1[EOS],8924.383449077606,42
12.5,Cc1ccccc1-c1nccc(N2CCN(c3ncc4n(c3=O)CCCC4)C(C)(C)C2)n1,[BOS]Cc1ccccc1-c1nccc(N2CCN(c3ncc4n(c3=O)CCCC4)C(C)(C)C2)n1[EOS],4807.624494314194,42
13.1,O=C(CCc1cnc2ccccc2c1)N1CCOC2(CCN(C(=O)C3CCc4ccccc4C3)C2)C1,[BOS]O=C(CCc1cnc2ccccc2c1)N1CCO[C@]2(CCN(C(=O)[C@@H]3CCc4ccccc4C3)C2)C1[EOS],9899.772734165192,42
