rv,smi,cur_sentence,elapsed_time,seed
12.9,Cn1cc2cc(C(=O)N3CCCCC3C3CCN(C(=O)c4ccc5c(c4)NC(=O)CC5)CC3)ccc2n1,[BOS]Cn1cc2cc(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)c4ccc5c(c4)NC(=O)CC5)CC3)ccc2n1[EOS],5914.22177195549,42
12.3,O=C1CCC2CN(C(=O)c3cc(S(=O)(=O)N4CCCCC4)ccc3Cl)c3cccc1c32,[BOS]O=C1CC[C@@H]2CN(C(=O)c3cc(S(=O)(=O)N4CCCCC4)ccc3Cl)c3cccc1c32[EOS],10557.934107542038,42
12.7,O=C(Nc1cc(C2CCCCN2C(=O)C2COc3ccccc3O2)[nH]n1)C1ON=C(c2ccccc2)O1,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)[C@H]2COc3ccccc3O2)[nH]n1)[C@@H]1ON=C(c2ccccc2)O1[EOS],5693.379107475281,42
12.0,O=C(NC1CCC(c2ccccc2)CC1)C1CCc2nnc(-c3ccccc3)n2C1,[BOS]O=C(NC1CCC(c2ccccc2)CC1)[C@@H]1CCc2nnc(-c3ccccc3)n2C1[EOS],10467.560660600662,42
13.0,Cc1oc2cc(O)ccc2c1C(=O)N1CCC(C2CCCCN2C(=O)C2CNC(=O)C2)CC1,[BOS]Cc1oc2cc(O)ccc2c1C(=O)N1CCC([C@@H]2CCCCN2C(=O)[C@@H]2CNC(=O)C2)CC1[EOS],6314.121288776398,42
12.6,O=C(C1=Cc2ccccc2OC1C(F)(F)F)N1CCN(c2ccc3ccccc3n2)CC1,[BOS]O=C(C1=Cc2ccccc2O[C@@H]1C(F)(F)F)N1CCN(c2ccc3ccccc3n2)CC1[EOS],10389.809482336044,42
12.0,CC(=O)n1ncc2ccc(-c3nc(-c4ccccc4)nc4[nH]ccc34)cc21,[BOS]CC(=O)n1ncc2ccc(-c3nc(-c4ccccc4)nc4[nH]ccc34)cc21[EOS],3766.176227092743,42
12.0,Cc1ccccc1-c1nc(N2CC(C)OCC2C)c2c3c(sc2n1)CCCC3CC(=O)NS(C)(=O)=O,[BOS]Cc1ccccc1-c1nc(N2C[C@H](C)OC[C@H]2C)c2c3c(sc2n1)CCC[C@@H]3CC(=O)NS(C)(=O)=O[EOS],8406.373787641525,42
13.0,O=C(c1ccc(O)cc1)N1CCC(OC2CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)CC1,[BOS]O=C(c1ccc(O)cc1)N1CCC(OC2CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)CC1[EOS],6227.828420877457,42
13.1,Cc1ccc(NC(=O)N2Cc3cccnc3N3CC(O)CC3C2)cc1C(=O)N1CCC(C)CC1,[BOS]Cc1ccc(NC(=O)N2Cc3cccnc3N3C[C@H](O)C[C@H]3C2)cc1C(=O)N1CCC(C)CC1[EOS],10774.612589597702,42
12.8,Cc1cc(C(=O)NC2CC3CCC(C2)N3C(=O)CC2OCCc3ccccc32)nc2ccccc12,[BOS]Cc1cc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)C[C@@H]2OCCc3ccccc32)nc2ccccc12[EOS],5482.262783527374,42
12.6,O=C(NCC12CCCOC1CCN(C(=O)C1CCc3ccccc3O1)C2)C1CCc2ccccc21,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)[C@H]1CCc3ccccc3O1)C2)[C@H]1CCc2ccccc21[EOS],11552.610552549362,42
11.7,CN1CC(CNC(=O)CN2C(=O)NC(C)(c3ccc4ccccc4c3)C2=O)Cc2ccccc21,[BOS]CN1C[C@H](CNC(=O)CN2C(=O)N[C@@](C)(c3ccc4ccccc4c3)C2=O)Cc2ccccc21[EOS],5972.904578208923,42
12.0,CC1CC(c2ccccc2)CCN1C(=O)C(=O)NCC(=O)N1CCc2ccccc2C1,[BOS]C[C@@H]1C[C@@H](c2ccccc2)CCN1C(=O)C(=O)NCC(=O)N1CCc2ccccc2C1[EOS],10887.806882619858,42
13.1,O=C1CCc2cc(F)c(NC(=O)Nc3cccc4c3CN(c3ccccn3)C4)cc2N1,[BOS]O=C(Nc1cccc2c1CN(c1ccccn1)C2)Nc1cc2c(cc1F)CCC(=O)N2[EOS],5023.271100282669,42
13.3,O=C(C1COCC2CN(c3nnc(-c4ccc5c(c4)OCO5)c4ccccc34)CC21)N1CCC(F)CC1,[BOS]O=C([C@@H]1COC[C@H]2CN(c3nnc(-c4ccc5c(c4)OCO5)c4ccccc34)C[C@H]21)N1CCC(F)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],10367.320781946182,42
12.1,Cc1c(C(=O)NCCC2CCc3ccccc3N2)oc2c1C(=O)CC(C)(C)C2,[BOS]Cc1c(C(=O)NCC[C@@H]2CCc3ccccc3N2)oc2c1C(=O)CC(C)(C)C2[EOS],4938.374767541885,42
