rv,smi,cur_sentence,elapsed_time,seed
12.2,Cc1oncc1C(=O)N1CCCCC1C1CCN(C(=O)c2cc(=O)c3ccccc3o2)CC1,[BOS]Cc1oncc1C(=O)N1CCCC[C@H]1C1CCN(C(=O)c2cc(=O)c3ccccc3o2)CC1[EOS],4288.83229804039,42
11.6,Cc1cc2ncnc(N3CCC4(CC3)CN(c3ccsc3)C(=O)CO4)c2cc1C,[BOS]Cc1cc2ncnc(N3CCC4(CC3)CN(c3ccsc3)C(=O)CO4)c2cc1C[EOS],7228.120015859604,42
10.9,Cc1ccc2c(CCc3nc(-c4ccc5c(c4)NC(=O)C(C)(C)O5)no3)c[nH]c2c1,[BOS]Cc1ccc2c(CCc3nc(-c4ccc5c(c4)NC(=O)C(C)(C)O5)no3)c[nH]c2c1[EOS],4228.820449829102,42
11.4,Cc1cccc2[nH]cc(C3=CCN(c4nnnn4-c4ccccc4)CC3)c12,[BOS]Cc1cccc2[nH]cc(C3=CCN(c4nnnn4-c4ccccc4)CC3)c12[EOS],7854.434743881226,42
11.3,CC(=O)N1CC2CCCC(N3C(=O)NC4(Cc5ccccc5C4)C3=O)C2C1,[BOS]CC(=O)N1C[C@@H]2CCC[C@@H](N3C(=O)NC4(Cc5ccccc5C4)C3=O)[C@H]2C1[EOS],3753.8033401966095,42
10.6,Cc1cc(F)ccc1CCn1c(C2CCN(C(=O)OC(C)(C)C)C2)nc2cc(C(N)=O)ccc21,[BOS]Cc1cc(F)ccc1CCn1c([C@@H]2CCN(C(=O)OC(C)(C)C)C2)nc2cc(C(N)=O)ccc21[EOS][EOS][EOS],8072.389307022095,42
10.7,Cc1ccc(-n2nc(C(C)C)cc2NC(=O)C(=O)NC2CCCOc3c(F)cccc32)cc1,[BOS]Cc1ccc(-n2nc(C(C)C)cc2NC(=O)C(=O)N[C@H]2CCCOc3c(F)cccc32)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4071.1705164909363,42
11.1,O=C(C1=Cc2cc(Br)ccc2OC1)N1CC(n2ccnc2)Cc2ccccc21,[BOS]O=C(C1=Cc2cc(Br)ccc2OC1)N1C[C@@H](n2ccnc2)Cc2ccccc21[EOS],7602.187619924545,42
12.0,Cc1nc(CN2CC[NH+](Cc3ccccc3-c3ccc(C(=O)[O-])c(F)c3)CC2)[nH]c1C,[BOS]Cc1nc(CN2CC[NH+](Cc3ccccc3-c3ccc(C(=O)[O-])c(F)c3)CC2)[nH]c1C[EOS],4605.787363767624,42
11.7,O=C(NC1C2CCc3ccccc3C21)N1CCCC1CS(=O)(=O)c1ccc2c(c1)CC(=O)N2C1CCCCC1,[BOS]O=C(N[C@@H]1[C@@H]2CCc3ccccc3[C@@H]21)N1CCC[C@@H]1CS(=O)(=O)c1ccc2c(c1)CC(=O)N2C1CCCCC1[EOS],8559.566162586212,42
11.2,Cc1cc(F)c(F)c(C(=O)NCC23CCCOC2CCN(C(=O)c2cc(=O)c4ccccc4o2)C3)c1,[BOS]Cc1cc(F)c(F)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2cc(=O)c4ccccc4o2)C3)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4922.560479640961,42
11.9,CC1CN(C(=O)Nc2cccc(C(=O)N3CCc4ccccc43)c2)c2ccccc21,[BOS]C[C@@H]1CN(C(=O)Nc2cccc(C(=O)N3CCc4ccccc43)c2)c2ccccc21[EOS],8799.846677541733,42
11.5,O=C1COc2cc(C(=O)N3CCCc4c(F)ccc(F)c43)c(Cl)cc2N1,[BOS]O=C1COc2cc(C(=O)N3CCCc4c(F)ccc(F)c43)c(Cl)cc2N1[EOS],3087.799978017807,42
10.5,O=C(Nc1ncc2c(n1)CCOC2)c1cc(N2CCNC2=O)ccc1Cl,[BOS]O=C(Nc1ncc2c(n1)CCOC2)c1cc(N2CCNC2=O)ccc1Cl[EOS],6996.931522846222,42
11.7,COc1cccc2c1CC(C(=O)N1C3CCC1CC(NC(=O)c1n[nH]nc1C(F)(F)F)C3)CC2,[BOS]COc1cccc2c1C[C@@H](C(=O)N1[C@@H]3CC[C@H]1C[C@@H](NC(=O)c1n[nH]nc1C(F)(F)F)C3)CC2[EOS],4910.614382505417,42
10.8,COc1cccc2c1OC(c1cc3ccc(F)cc3nc1N1CCC3(CC1)CC(=O)CCO3)NC2=O,[BOS]COc1cccc2c1O[C@@H](c1cc3ccc(F)cc3nc1N1CCC3(CC1)CC(=O)CCO3)NC2=O[EOS],8652.756407260895,42
10.9,O=C(c1cc(Cc2ccccc2)ccc1O)N1CCCC(c2nnc3n2CCCCC3)C1,[BOS]O=C(c1cc(Cc2ccccc2)ccc1O)N1CCC[C@@H](c2nnc3n2CCCCC3)C1[EOS],4146.70872759819,42
11.2,Cc1ccc(-c2cncc(F)c2)cc1NC(=O)NC1CC(=O)N(C)C1c1ccc(F)c(F)c1,[BOS]Cc1ccc(-c2cncc(F)c2)cc1NC(=O)N[C@@H]1CC(=O)N(C)[C@H]1c1ccc(F)c(F)c1[EOS][EOS][EOS][EOS][EOS],7927.640648126602,42
11.6,O=C(C1COc2ccc(Cl)cc2C1)N1CCN(S(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)CC1,[BOS]O=C([C@H]1COc2ccc(Cl)cc2C1)N1CCN(S(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)CC1[EOS],3801.5847811698914,42
