ckpt_filename,validity,uniqueness,diversity,quality,quality2,sample_time,status,gpu_id
"0-1000.ckpt",0.933000,0.942000,0.810,0.861000,0.918000,15.458,OK,0
"0-105000.ckpt",1.000000,0.955000,0.828,0.809000,0.944000,13.985,OK,0
"0-112000.ckpt",0.998000,0.950000,0.831,0.801000,0.933000,13.803,OK,0
"0-12000.ckpt",1.000000,0.956000,0.819,0.868000,0.955000,14.451,OK,0
"0-127000.ckpt",1.000000,0.936000,0.828,0.806000,0.934000,13.592,OK,0
"0-134000.ckpt",1.000000,0.937000,0.830,0.769000,0.922000,13.974,OK,0
"0-141000.ckpt",1.000000,0.923000,0.827,0.768000,0.928000,14.029,OK,0
"0-149000.ckpt",1.000000,0.935000,0.828,0.771000,0.922000,14.026,OK,0
"0-155000.ckpt",0.999000,0.939000,0.832,0.777000,0.925000,14.193,OK,0
"0-162000.ckpt",1.000000,0.933000,0.830,0.782000,0.924000,13.608,OK,0
"0-17000.ckpt",1.000000,0.965000,0.823,0.853000,0.963000,13.497,OK,0
"0-177000.ckpt",1.000000,0.938000,0.828,0.788000,0.920000,14.158,OK,0
"0-184000.ckpt",1.000000,0.931000,0.829,0.771000,0.926000,13.862,OK,0
"0-191000.ckpt",1.000000,0.934000,0.831,0.776000,0.917000,13.824,OK,0
"0-199000.ckpt",1.000000,0.933000,0.834,0.782000,0.924000,14.142,OK,0
"0-23000.ckpt",0.997000,0.956000,0.821,0.831000,0.938000,14.474,OK,0
"0-30000.ckpt",0.998000,0.954000,0.826,0.842000,0.949000,14.309,OK,0
"0-38000.ckpt",0.999000,0.923000,0.833,0.825000,0.936000,13.615,OK,0
"0-45000.ckpt",0.999000,0.932000,0.827,0.815000,0.934000,13.927,OK,0
"0-51000.ckpt",1.000000,0.922000,0.828,0.813000,0.931000,13.847,OK,0
"0-59000.ckpt",0.998000,0.924000,0.833,0.787000,0.914000,13.923,OK,0
"0-66000.ckpt",0.997000,0.918000,0.836,0.770000,0.911000,13.355,OK,0
"0-73000.ckpt",0.997000,0.926000,0.835,0.785000,0.921000,13.800,OK,0
"0-80000.ckpt",1.000000,0.945000,0.833,0.805000,0.936000,13.946,OK,0
"0-88000.ckpt",0.999000,0.938000,0.829,0.799000,0.921000,13.674,OK,0
"0-95000.ckpt",0.999000,0.947000,0.828,0.822000,0.945000,13.653,OK,0
"1-206000.ckpt",1.000000,0.939000,0.831,0.778000,0.928000,13.610,OK,0
"1-214000.ckpt",1.000000,0.931000,0.831,0.782000,0.925000,13.867,OK,0
"1-222000.ckpt",1.000000,0.930000,0.829,0.787000,0.925000,14.096,OK,0
"1-230000.ckpt",0.999000,0.928000,0.827,0.770000,0.916000,14.272,OK,0
"1-238000.ckpt",1.000000,0.926000,0.829,0.773000,0.914000,13.815,OK,0
