oracle,genmol_auc_top10
albuterol_similarity,0.937
amlodipine_mpo,0.810
celecoxib_rediscovery,0.826
deco_hop,0.960
drd2,0.995
fexofenadine_mpo,0.894
gsk3b,0.986
isomers_c7h8n2o2,0.942
isomers_c9h10n2o2pf2cl,0.833
jnk3,0.906
median1,0.398
median2,0.359
mestranol_similarity,0.982
osimertinib_mpo,0.876
perindopril_mpo,0.718
qed,0.942
ranolazine_mpo,0.821
scaffold_hop,0.628
sitagliptin_mpo,0.584
thiothixene_rediscovery,0.692
troglitazone_rediscovery,0.867
valsartan_smarts,0.822
zaleplon_mpo,0.584
Sum,18.362
